"Tabela 10062 - Número médio de anos de estudo das pessoas com 11 anos ou mais de idade, segundo os grupos de idade, o sexo e a cor ou raça"
"Variável - Número médio de anos de estudo das pessoas de 11 anos ou mais de idade (Anos)"
"Município";"Cor ou raça";"Ano x Grupo de idade x Sexo"
"Município";"Cor ou raça";"2022"
"Município";"Cor ou raça";"Total";;;"25 anos ou mais"
"Município";"Cor ou raça";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres"
"Barrinha (SP)";"Total";"9,0";"8,8";"9,3";"8,9";"8,6";"9,2"
"Barueri (SP)";"Total";"11,0";"10,9";"11,0";"11,3";"11,3";"11,3"
"Bastos (SP)";"Total";"9,5";"9,5";"9,4";"9,4";"9,5";"9,4"
"Batatais (SP)";"Total";"9,6";"9,6";"9,7";"9,6";"9,6";"9,6"
"Bauru (SP)";"Total";"10,9";"10,9";"11,0";"11,1";"11,1";"11,2"
"Bebedouro (SP)";"Total";"10,2";"10,2";"10,2";"10,3";"10,3";"10,3"
"Bento de Abreu (SP)";"Total";"9,5";"9,3";"9,7";"9,4";"9,3";"9,6"
"Bernardino de Campos (SP)";"Total";"9,3";"9,1";"9,4";"9,2";"9,1";"9,3"
"Bertioga (SP)";"Total";"9,3";"9,0";"9,5";"9,4";"9,1";"9,7"
"Bilac (SP)";"Total";"9,7";"9,7";"9,6";"9,5";"9,7";"9,4"
"Birigui (SP)";"Total";"10,1";"10,0";"10,2";"10,1";"10,1";"10,2"
"Biritiba Mirim (SP)";"Total";"9,3";"9,2";"9,5";"9,2";"9,0";"9,3"
"Boa Esperança do Sul (SP)";"Total";"8,7";"8,5";"9,0";"8,5";"8,2";"8,7"
"Bocaina (SP)";"Total";"9,0";"8,9";"9,2";"9,0";"8,9";"9,1"
"Bofete (SP)";"Total";"8,8";"8,6";"9,0";"8,6";"8,4";"8,9"
"Boituva (SP)";"Total";"10,2";"10,2";"10,3";"10,4";"10,3";"10,4"
"Bom Jesus dos Perdões (SP)";"Total";"9,2";"9,0";"9,3";"9,2";"9,1";"9,3"
"Bom Sucesso de Itararé (SP)";"Total";"8,6";"8,3";"9,0";"8,3";"7,9";"8,7"
"Borá (SP)";"Total";"8,8";"8,6";"9,0";"8,6";"8,4";"8,8"
"Boracéia (SP)";"Total";"8,7";"8,7";"8,8";"8,5";"8,4";"8,5"
"Borborema (SP)";"Total";"8,7";"8,7";"8,7";"8,4";"8,3";"8,5"
"Borebi (SP)";"Total";"8,8";"8,8";"8,9";"8,7";"8,6";"8,8"
"Botucatu (SP)";"Total";"10,8";"10,7";"10,8";"11,0";"11,0";"11,0"
"Bragança Paulista (SP)";"Total";"10,4";"10,3";"10,5";"10,5";"10,4";"10,6"
"Braúna (SP)";"Total";"9,1";"8,8";"9,3";"8,9";"8,7";"9,2"
"Brejo Alegre (SP)";"Total";"8,7";"8,5";"8,9";"8,5";"8,3";"8,7"
"Brodowski (SP)";"Total";"9,5";"9,2";"9,7";"9,4";"9,2";"9,7"
"Brotas (SP)";"Total";"9,1";"9,0";"9,3";"9,1";"9,0";"9,3"
"Buri (SP)";"Total";"8,3";"8,0";"8,6";"8,1";"7,7";"8,4"
"Buritama (SP)";"Total";"9,3";"9,3";"9,4";"9,2";"9,2";"9,2"
"Buritizal (SP)";"Total";"9,5";"9,2";"9,7";"9,4";"9,1";"9,7"
"Cabrália Paulista (SP)";"Total";"8,7";"8,8";"8,6";"8,4";"8,5";"8,3"
