"Tabela 10062 - Número médio de anos de estudo das pessoas com 11 anos ou mais de idade, segundo os grupos de idade, o sexo e a cor ou raça"
"Variável - Número médio de anos de estudo das pessoas de 11 anos ou mais de idade (Anos)"
"Município";"Cor ou raça";"Ano x Grupo de idade x Sexo"
"Município";"Cor ou raça";"2022"
"Município";"Cor ou raça";"Total";;;"25 anos ou mais"
"Município";"Cor ou raça";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres"
"Jaci (SP)";"Total";"8,8";"8,7";"9,0";"8,7";"8,5";"8,8"
"Jacupiranga (SP)";"Total";"8,6";"8,4";"8,9";"8,5";"8,3";"8,8"
"Jaguariúna (SP)";"Total";"10,5";"10,4";"10,5";"10,7";"10,7";"10,7"
"Jales (SP)";"Total";"10,1";"9,9";"10,2";"10,1";"10,0";"10,2"
"Jambeiro (SP)";"Total";"9,5";"9,2";"9,8";"9,5";"9,2";"9,8"
"Jandira (SP)";"Total";"10,4";"10,3";"10,4";"10,5";"10,5";"10,5"
"Jardinópolis (SP)";"Total";"9,5";"9,3";"9,8";"9,6";"9,4";"9,8"
"Jarinu (SP)";"Total";"9,4";"9,3";"9,5";"9,4";"9,3";"9,5"
"Jaú (SP)";"Total";"9,9";"9,8";"9,9";"10,0";"9,9";"10,0"
"Jeriquara (SP)";"Total";"9,0";"8,7";"9,4";"8,8";"8,4";"9,2"
"Joanópolis (SP)";"Total";"8,7";"8,4";"8,9";"8,5";"8,3";"8,7"
"João Ramalho (SP)";"Total";"9,0";"9,0";"9,0";"8,8";"8,7";"8,9"
"José Bonifácio (SP)";"Total";"9,6";"9,4";"9,8";"9,5";"9,4";"9,7"
"Júlio Mesquita (SP)";"Total";"8,9";"9,0";"8,8";"8,7";"8,9";"8,5"
"Jumirim (SP)";"Total";"9,2";"8,9";"9,5";"9,0";"8,7";"9,4"
"Jundiaí (SP)";"Total";"11,2";"11,2";"11,1";"11,4";"11,5";"11,3"
"Junqueirópolis (SP)";"Total";"9,8";"9,7";"9,9";"9,8";"9,7";"9,9"
"Juquiá (SP)";"Total";"9,0";"8,7";"9,3";"8,7";"8,4";"9,1"
"Juquitiba (SP)";"Total";"8,9";"8,7";"9,1";"8,7";"8,5";"8,8"
"Lagoinha (SP)";"Total";"8,8";"8,4";"9,3";"8,6";"8,1";"9,0"
"Laranjal Paulista (SP)";"Total";"9,3";"9,1";"9,5";"9,2";"9,1";"9,3"
"Lavínia (SP)";"Total";"8,8";"8,6";"9,1";"8,6";"8,6";"8,9"
"Lavrinhas (SP)";"Total";"9,2";"9,1";"9,4";"9,2";"9,0";"9,3"
"Leme (SP)";"Total";"9,4";"9,2";"9,6";"9,4";"9,2";"9,6"
"Lençóis Paulista (SP)";"Total";"10,0";"10,0";"10,0";"10,1";"10,2";"10,0"
"Limeira (SP)";"Total";"10,3";"10,4";"10,2";"10,4";"10,5";"10,3"
"Lindóia (SP)";"Total";"9,6";"9,3";"9,8";"9,5";"9,2";"9,7"
"Lins (SP)";"Total";"10,7";"10,7";"10,8";"10,9";"10,9";"11,0"
"Lorena (SP)";"Total";"10,5";"10,5";"10,6";"10,8";"10,8";"10,7"
"Lourdes (SP)";"Total";"8,5";"8,4";"8,6";"8,2";"8,0";"8,3"
"Louveira (SP)";"Total";"10,4";"10,4";"10,5";"10,6";"10,6";"10,6"
"Lucélia (SP)";"Total";"9,5";"9,1";"10,0";"9,4";"9,0";"9,9"
"Lucianópolis (SP)";"Total";"9,1";"8,7";"9,4";"8,8";"8,4";"9,1"
"Luís Antônio (SP)";"Total";"9,6";"9,4";"9,8";"9,6";"9,3";"9,8"
"Luiziânia (SP)";"Total";"8,5";"8,1";"8,8";"8,2";"7,8";"8,6"
"Lupércio (SP)";"Total";"8,6";"8,3";"8,9";"8,4";"8,2";"8,7"
"Lutécia (SP)";"Total";"9,3";"9,0";"9,6";"9,2";"8,8";"9,5"
"Macatuba (SP)";"Total";"9,3";"9,3";"9,3";"9,2";"9,3";"9,1"
"Macaubal (SP)";"Total";"9,0";"8,7";"9,2";"8,7";"8,4";"9,0"
"Macedônia (SP)";"Total";"8,9";"8,7";"9,2";"8,7";"8,4";"9,1"
"Magda (SP)";"Total";"9,1";"9,2";"9,1";"9,0";"9,0";"9,0"
"Mairinque (SP)";"Total";"9,9";"9,8";"10,0";"9,9";"9,9";"10,0"
"Mairiporã (SP)";"Total";"10,2";"10,0";"10,4";"10,3";"10,1";"10,5"
"Manduri (SP)";"Total";"9,1";"9,1";"9,2";"9,0";"8,9";"9,1"
"Marabá Paulista (SP)";"Total";"8,5";"8,3";"8,9";"8,3";"8,0";"8,7"
"Maracaí (SP)";"Total";"9,6";"9,6";"9,6";"9,5";"9,5";"9,6"
"Marapoama (SP)";"Total";"9,0";"8,9";"9,1";"8,8";"8,7";"8,9"
"Mariápolis (SP)";"Total";"9,3";"9,2";"9,4";"9,2";"9,1";"9,2"
"Marília (SP)";"Total";"10,8";"10,7";"10,8";"11,0";"10,9";"11,0"
"Marinópolis (SP)";"Total";"9,0";"8,7";"9,3";"8,7";"8,3";"9,0"
"Martinópolis (SP)";"Total";"9,5";"9,3";"9,7";"9,5";"9,3";"9,6"
"Matão (SP)";"Total";"9,9";"9,9";"9,9";"9,9";"9,9";"9,9"
"Mauá (SP)";"Total";"10,2";"10,2";"10,3";"10,3";"10,4";"10,3"
"Mendonça (SP)";"Total";"9,1";"8,9";"9,3";"9,0";"8,8";"9,2"
"Meridiano (SP)";"Total";"9,3";"9,1";"9,5";"9,1";"8,9";"9,3"
"Mesópolis (SP)";"Total";"8,4";"7,9";"8,8";"8,1";"7,5";"8,7"
"Miguelópolis (SP)";"Total";"8,9";"8,7";"9,1";"8,8";"8,6";"8,9"
"Mineiros do Tietê (SP)";"Total";"8,7";"8,7";"8,6";"8,4";"8,5";"8,3"
"Miracatu (SP)";"Total";"8,3";"8,0";"8,7";"8,0";"7,6";"8,5"
"Mira Estrela (SP)";"Total";"8,6";"8,2";"9,0";"8,3";"7,9";"8,7"
"Mirandópolis (SP)";"Total";"9,6";"9,4";"9,8";"9,5";"9,4";"9,7"
"Mirante do Paranapanema (SP)";"Total";"9,2";"9,0";"9,4";"9,1";"8,8";"9,3"
"Mirassol (SP)";"Total";"10,3";"10,1";"10,4";"10,4";"10,3";"10,5"
"Mirassolândia (SP)";"Total";"8,4";"8,0";"8,7";"8,3";"7,9";"8,7"
"Mococa (SP)";"Total";"9,9";"9,9";"9,9";"9,8";"9,9";"9,8"
"Mogi das Cruzes (SP)";"Total";"10,7";"10,7";"10,8";"11,0";"11,0";"11,0"
"Mogi Guaçu (SP)";"Total";"10,2";"10,2";"10,1";"10,3";"10,4";"10,2"
"Mogi Mirim (SP)";"Total";"10,3";"10,3";"10,3";"10,5";"10,5";"10,4"
"Mombuca (SP)";"Total";"8,9";"8,8";"9,0";"8,8";"8,7";"8,9"
"Monções (SP)";"Total";"9,0";"9,0";"9,1";"8,9";"8,8";"9,0"
"Mongaguá (SP)";"Total";"9,5";"9,2";"9,8";"9,6";"9,3";"9,9"
"Monte Alegre do Sul (SP)";"Total";"9,6";"9,4";"9,8";"9,6";"9,5";"9,8"
"Monte Alto (SP)";"Total";"9,9";"10,0";"9,9";"9,9";"9,9";"9,8"
"Monte Aprazível (SP)";"Total";"9,7";"9,5";"9,9";"9,7";"9,5";"9,8"
"Monte Azul Paulista (SP)";"Total";"9,2";"9,2";"9,2";"9,1";"9,0";"9,1"
"Monte Castelo (SP)";"Total";"8,8";"8,6";"9,1";"8,6";"8,4";"8,8"
"Monteiro Lobato (SP)";"Total";"9,5";"9,1";"9,9";"9,6";"9,1";"10,1"
"Monte Mor (SP)";"Total";"9,6";"9,5";"9,7";"9,6";"9,5";"9,7"
"Morro Agudo (SP)";"Total";"9,0";"8,8";"9,1";"8,8";"8,6";"9,0"
"Morungaba (SP)";"Total";"9,4";"9,1";"9,7";"9,4";"9,1";"9,8"
"Motuca (SP)";"Total";"9,0";"9,0";"9,1";"8,9";"8,8";"8,9"
"Murutinga do Sul (SP)";"Total";"9,0";"8,9";"9,1";"8,8";"8,9";"8,8"
"Nantes (SP)";"Total";"9,4";"9,3";"9,5";"9,2";"9,2";"9,2"
"Narandiba (SP)";"Total";"9,5";"9,1";"9,8";"9,4";"8,9";"9,9"
"Natividade da Serra (SP)";"Total";"7,5";"7,1";"7,8";"7,0";"6,8";"7,3"
"Nazaré Paulista (SP)";"Total";"8,7";"8,4";"9,0";"8,5";"8,1";"8,8"
"Neves Paulista (SP)";"Total";"9,4";"9,3";"9,4";"9,4";"9,2";"9,5"
"Nhandeara (SP)";"Total";"9,5";"9,4";"9,6";"9,4";"9,3";"9,6"
"Nipoã (SP)";"Total";"8,0";"7,7";"8,2";"7,6";"7,2";"7,9"
"Nova Aliança (SP)";"Total";"9,4";"9,2";"9,6";"9,3";"9,1";"9,5"
"Nova Campina (SP)";"Total";"8,0";"7,9";"8,0";"7,4";"7,5";"7,4"
"Nova Canaã Paulista (SP)";"Total";"8,2";"8,1";"8,2";"7,8";"7,7";"7,8"
"Nova Castilho (SP)";"Total";"9,5";"9,0";"10,0";"9,3";"8,9";"9,8"
"Nova Europa (SP)";"Total";"9,1";"8,9";"9,2";"9,0";"9,0";"9,1"
"Nova Granada (SP)";"Total";"8,9";"8,7";"9,2";"8,7";"8,4";"9,0"
"Nova Guataporanga (SP)";"Total";"9,0";"9,1";"8,8";"8,7";"8,9";"8,6"
"Nova Independência (SP)";"Total";"9,8";"9,5";"10,1";"9,8";"9,6";"10,0"
"Novais (SP)";"Total";"8,3";"7,9";"8,6";"8,0";"7,6";"8,4"
"Nova Luzitânia (SP)";"Total";"9,3";"9,3";"9,2";"9,1";"9,2";"9,1"
"Nova Odessa (SP)";"Total";"10,5";"10,5";"10,5";"10,6";"10,7";"10,5"
"Novo Horizonte (SP)";"Total";"9,4";"9,4";"9,5";"9,4";"9,3";"9,4"
"Nuporanga (SP)";"Total";"9,5";"9,3";"9,7";"9,5";"9,3";"9,7"
"Ocauçu (SP)";"Total";"8,6";"8,3";"9,0";"8,4";"8,0";"8,8"
"Óleo (SP)";"Total";"8,6";"8,6";"8,7";"8,4";"8,4";"8,4"
"Olímpia (SP)";"Total";"9,8";"9,7";"9,8";"9,9";"9,8";"9,9"
"Onda Verde (SP)";"Total";"9,5";"9,3";"9,7";"9,4";"9,2";"9,6"
"Oriente (SP)";"Total";"9,9";"10,0";"9,8";"9,9";"10,1";"9,7"
"Orindiúva (SP)";"Total";"10,0";"9,8";"10,1";"10,0";"9,8";"10,2"
"Orlândia (SP)";"Total";"9,8";"9,7";"9,8";"9,8";"9,9";"9,8"
"Osasco (SP)";"Total";"10,6";"10,6";"10,6";"10,8";"10,8";"10,8"
"Oscar Bressane (SP)";"Total";"9,0";"8,9";"9,1";"8,8";"8,8";"8,9"
"Osvaldo Cruz (SP)";"Total";"9,9";"10,0";"9,8";"9,9";"10,0";"9,8"
"Ourinhos (SP)";"Total";"10,2";"10,0";"10,3";"10,3";"10,2";"10,3"
"Ouroeste (SP)";"Total";"9,7";"9,6";"9,8";"9,6";"9,6";"9,6"
"Ouro Verde (SP)";"Total";"8,8";"8,7";"8,8";"8,5";"8,5";"8,6"
"Pacaembu (SP)";"Total";"8,6";"8,2";"9,5";"8,5";"8,0";"9,4"
"Palestina (SP)";"Total";"9,1";"9,0";"9,1";"8,9";"8,8";"9,0"
"Palmares Paulista (SP)";"Total";"8,2";"7,8";"8,6";"7,8";"7,4";"8,2"
"Palmeira d'Oeste (SP)";"Total";"9,0";"8,9";"9,2";"8,8";"8,7";"8,9"
"Palmital (SP)";"Total";"9,7";"9,6";"9,7";"9,6";"9,6";"9,7"
"Panorama (SP)";"Total";"8,6";"8,4";"8,9";"8,4";"8,1";"8,7"
"Paraguaçu Paulista (SP)";"Total";"10,0";"10,0";"10,0";"10,1";"10,1";"10,0"
"Paraibuna (SP)";"Total";"9,0";"8,7";"9,3";"8,9";"8,6";"9,2"
"Paraíso (SP)";"Total";"9,2";"9,1";"9,3";"9,0";"8,9";"9,1"
"Paranapanema (SP)";"Total";"8,6";"8,2";"9,0";"8,2";"7,7";"8,7"
"Paranapuã (SP)";"Total";"8,7";"8,6";"8,8";"8,4";"8,3";"8,5"
"Parapuã (SP)";"Total";"9,1";"9,0";"9,1";"8,9";"8,9";"8,9"
"Pardinho (SP)";"Total";"9,2";"9,1";"9,3";"9,1";"8,9";"9,3"
"Pariquera-Açu (SP)";"Total";"9,4";"9,3";"9,5";"9,3";"9,2";"9,4"
"Parisi (SP)";"Total";"8,8";"8,6";"9,1";"8,6";"8,2";"8,9"
"Patrocínio Paulista (SP)";"Total";"9,5";"9,2";"9,8";"9,5";"9,2";"9,8"
"Paulicéia (SP)";"Total";"9,2";"8,9";"9,5";"9,0";"8,7";"9,4"
"Paulínia (SP)";"Total";"10,8";"10,7";"10,8";"11,1";"11,1";"11,0"
"Paulistânia (SP)";"Total";"8,4";"8,2";"8,7";"8,1";"7,8";"8,3"
"Paulo de Faria (SP)";"Total";"8,9";"8,6";"9,2";"8,7";"8,4";"9,0"
"Pederneiras (SP)";"Total";"9,3";"9,2";"9,5";"9,2";"9,1";"9,4"
"Pedra Bela (SP)";"Total";"8,2";"8,0";"8,5";"7,9";"7,7";"8,2"
"Pedranópolis (SP)";"Total";"8,1";"8,0";"8,2";"7,7";"7,6";"7,9"
"Pedregulho (SP)";"Total";"8,8";"8,7";"9,0";"8,7";"8,5";"8,9"
"Pedreira (SP)";"Total";"9,7";"9,7";"9,6";"9,6";"9,7";"9,6"
"Pedrinhas Paulista (SP)";"Total";"8,9";"8,6";"9,3";"8,9";"8,5";"9,3"
"Pedro de Toledo (SP)";"Total";"8,4";"7,9";"8,8";"8,2";"7,7";"8,7"
"Penápolis (SP)";"Total";"10,0";"9,8";"10,2";"10,1";"9,9";"10,3"
"Pereira Barreto (SP)";"Total";"9,6";"9,4";"9,9";"9,7";"9,4";"9,9"
"Pereiras (SP)";"Total";"9,4";"9,2";"9,6";"9,4";"9,2";"9,6"
"Peruíbe (SP)";"Total";"9,7";"9,4";"10,0";"9,9";"9,6";"10,1"
"Piacatu (SP)";"Total";"9,0";"9,1";"8,9";"8,8";"8,9";"8,8"
"Piedade (SP)";"Total";"9,0";"8,9";"9,1";"8,8";"8,7";"9,0"
"Pilar do Sul (SP)";"Total";"9,1";"8,9";"9,3";"8,9";"8,7";"9,1"
"Pindamonhangaba (SP)";"Total";"10,7";"10,7";"10,7";"10,9";"11,0";"10,9"
"Pindorama (SP)";"Total";"9,4";"9,6";"9,3";"9,4";"9,5";"9,2"
"Pinhalzinho (SP)";"Total";"8,6";"8,4";"8,9";"8,5";"8,3";"8,8"
"Piquerobi (SP)";"Total";"8,6";"8,4";"8,8";"8,3";"8,2";"8,5"
"Piquete (SP)";"Total";"10,2";"10,0";"10,3";"10,2";"10,1";"10,3"
"Piracaia (SP)";"Total";"9,3";"9,2";"9,3";"9,2";"9,1";"9,2"
"Piracicaba (SP)";"Total";"10,7";"10,7";"10,7";"10,9";"11,0";"10,8"
"Piraju (SP)";"Total";"10,1";"10,0";"10,3";"10,2";"10,0";"10,4"
"Pirajuí (SP)";"Total";"9,6";"9,4";"9,9";"9,5";"9,3";"9,8"
"Pirangi (SP)";"Total";"9,3";"9,1";"9,4";"9,1";"8,9";"9,2"
"Pirapora do Bom Jesus (SP)";"Total";"9,3";"9,2";"9,5";"9,3";"9,1";"9,4"
"Pirapozinho (SP)";"Total";"9,9";"9,8";"10,0";"9,9";"9,8";"9,9"
"Pirassununga (SP)";"Total";"10,5";"10,4";"10,6";"10,7";"10,6";"10,7"
"Piratininga (SP)";"Total";"10,6";"10,3";"10,9";"10,8";"10,6";"11,1"
"Pitangueiras (SP)";"Total";"9,3";"9,1";"9,4";"9,1";"9,0";"9,3"
"Planalto (SP)";"Total";"8,8";"8,5";"9,0";"8,5";"8,1";"8,8"
"Platina (SP)";"Total";"8,7";"8,5";"8,8";"8,4";"8,2";"8,6"
"Poá (SP)";"Total";"10,6";"10,5";"10,7";"10,8";"10,7";"10,9"
"Poloni (SP)";"Total";"8,9";"8,7";"9,1";"8,9";"8,7";"9,1"
"Pompéia (SP)";"Total";"10,4";"10,4";"10,5";"10,6";"10,6";"10,6"
"Pongaí (SP)";"Total";"9,5";"9,6";"9,4";"9,4";"9,4";"9,3"
"Pontal (SP)";"Total";"9,0";"8,8";"9,2";"8,8";"8,6";"9,0"
"Pontalinda (SP)";"Total";"8,0";"7,7";"8,2";"7,7";"7,5";"8,1"
"Pontes Gestal (SP)";"Total";"9,1";"8,9";"9,2";"9,0";"8,8";"9,1"
"Populina (SP)";"Total";"8,3";"8,2";"8,4";"8,0";"7,9";"8,1"
"Porangaba (SP)";"Total";"8,8";"8,6";"9,1";"8,7";"8,5";"9,0"
"Porto Feliz (SP)";"Total";"9,7";"9,7";"9,8";"9,7";"9,7";"9,8"
"Porto Ferreira (SP)";"Total";"9,6";"9,5";"9,8";"9,7";"9,7";"9,8"
"Potim (SP)";"Total";"8,8";"8,9";"8,8";"8,8";"8,9";"8,7"
"Potirendaba (SP)";"Total";"9,3";"9,2";"9,4";"9,3";"9,1";"9,4"
"Pracinha (SP)";"Total";"8,6";"8,3";"9,4";"8,3";"8,1";"9,0"
"Pradópolis (SP)";"Total";"9,0";"9,1";"8,9";"8,9";"9,2";"8,7"
"Praia Grande (SP)";"Total";"10,5";"10,3";"10,6";"10,7";"10,6";"10,8"
"Pratânia (SP)";"Total";"8,4";"8,1";"8,7";"8,0";"7,6";"8,3"
"Presidente Alves (SP)";"Total";"9,1";"9,0";"9,3";"9,0";"8,9";"9,2"
"Presidente Bernardes (SP)";"Total";"9,3";"8,9";"9,9";"9,2";"8,8";"9,8"
"Presidente Epitácio (SP)";"Total";"9,8";"9,6";"9,9";"9,7";"9,6";"9,8"
"Presidente Prudente (SP)";"Total";"10,8";"10,7";"10,9";"11,0";"11,0";"11,0"
"Presidente Venceslau (SP)";"Total";"9,9";"9,8";"10,0";"9,9";"9,8";"10,0"
"Promissão (SP)";"Total";"9,3";"9,1";"9,4";"9,3";"9,0";"9,5"
"Quadra (SP)";"Total";"8,5";"8,3";"8,7";"8,2";"8,0";"8,5"
"Quatá (SP)";"Total";"9,3";"9,1";"9,5";"9,2";"9,0";"9,4"
"Queiroz (SP)";"Total";"9,2";"8,9";"9,5";"8,9";"8,7";"9,2"
"Queluz (SP)";"Total";"9,0";"8,7";"9,4";"9,1";"8,7";"9,4"
"Quintana (SP)";"Total";"9,6";"9,5";"9,7";"9,6";"9,4";"9,7"
"Rafard (SP)";"Total";"8,8";"8,8";"8,8";"8,8";"8,9";"8,8"
"Rancharia (SP)";"Total";"9,7";"9,6";"9,8";"9,7";"9,6";"9,8"
"Redenção da Serra (SP)";"Total";"8,0";"7,8";"8,1";"7,6";"7,4";"7,9"
"Regente Feijó (SP)";"Total";"10,1";"9,9";"10,3";"10,1";"9,8";"10,3"
"Reginópolis (SP)";"Total";"8,7";"8,6";"9,0";"8,5";"8,4";"8,6"
"Registro (SP)";"Total";"9,8";"9,7";"9,9";"9,8";"9,7";"10,0"
"Restinga (SP)";"Total";"8,9";"8,9";"9,0";"8,8";"8,7";"8,8"
"Ribeira (SP)";"Total";"8,3";"8,3";"8,3";"8,1";"8,1";"8,0"
"Ribeirão Bonito (SP)";"Total";"9,3";"9,2";"9,4";"9,2";"9,1";"9,3"
"Ribeirão Branco (SP)";"Total";"7,7";"7,5";"7,9";"7,2";"7,0";"7,4"
"Ribeirão Corrente (SP)";"Total";"8,4";"8,1";"8,7";"7,9";"7,5";"8,3"
"Ribeirão do Sul (SP)";"Total";"9,2";"9,1";"9,3";"9,0";"8,9";"9,1"
"Ribeirão dos Índios (SP)";"Total";"8,8";"8,5";"9,0";"8,4";"8,1";"8,6"
"Ribeirão Grande (SP)";"Total";"8,3";"8,4";"8,2";"8,0";"8,2";"7,8"
"Ribeirão Pires (SP)";"Total";"10,6";"10,6";"10,6";"10,8";"10,8";"10,7"
"Ribeirão Preto (SP)";"Total";"10,9";"10,9";"11,0";"11,2";"11,2";"11,3"
"Riversul (SP)";"Total";"8,1";"8,1";"8,2";"7,8";"7,7";"7,9"
"Rifaina (SP)";"Total";"9,8";"9,8";"9,9";"9,8";"9,7";"9,8"
"Rincão (SP)";"Total";"9,0";"8,9";"9,0";"8,8";"8,7";"8,8"
"Rinópolis (SP)";"Total";"9,2";"9,1";"9,3";"9,0";"8,9";"9,1"
"Rio Claro (SP)";"Total";"10,6";"10,7";"10,6";"10,8";"11,0";"10,7"
"Rio das Pedras (SP)";"Total";"9,7";"9,7";"9,6";"9,8";"9,9";"9,6"
"Rio Grande da Serra (SP)";"Total";"10,0";"10,0";"9,9";"10,0";"10,2";"9,9"
"Riolândia (SP)";"Total";"5,9";"4,7";"8,0";"5,6";"4,4";"7,7"
"Rosana (SP)";"Total";"9,9";"9,7";"10,0";"9,8";"9,6";"10,0"
"Roseira (SP)";"Total";"9,9";"9,7";"10,1";"10,0";"9,8";"10,3"
"Rubiácea (SP)";"Total";"8,5";"8,4";"8,7";"8,3";"8,0";"8,6"
"Rubinéia (SP)";"Total";"9,2";"8,8";"9,5";"9,1";"8,7";"9,4"
"Sabino (SP)";"Total";"8,4";"8,2";"8,5";"8,2";"8,1";"8,3"
"Sagres (SP)";"Total";"8,9";"8,8";"8,9";"8,7";"8,7";"8,7"
"Sales (SP)";"Total";"8,7";"8,4";"9,0";"8,7";"8,4";"8,9"
"Sales Oliveira (SP)";"Total";"9,0";"8,9";"9,1";"9,0";"8,9";"9,0"
"Salesópolis (SP)";"Total";"9,1";"8,8";"9,3";"8,9";"8,7";"9,1"
"Salmourão (SP)";"Total";"7,4";"7,3";"7,5";"7,1";"6,9";"7,2"
"Saltinho (SP)";"Total";"9,5";"9,5";"9,6";"9,5";"9,5";"9,6"
"Salto (SP)";"Total";"10,5";"10,5";"10,5";"10,7";"10,8";"10,6"
"Salto de Pirapora (SP)";"Total";"9,4";"9,3";"9,5";"9,3";"9,2";"9,4"
"Salto Grande (SP)";"Total";"8,8";"8,9";"8,8";"8,6";"8,6";"8,6"
"Sandovalina (SP)";"Total";"9,4";"8,9";"10,0";"9,3";"8,7";"10,0"
"Santa Adélia (SP)";"Total";"9,2";"9,1";"9,3";"9,0";"8,9";"9,1"
"Santa Albertina (SP)";"Total";"8,8";"8,8";"8,9";"8,6";"8,5";"8,7"
"Santa Bárbara d'Oeste (SP)";"Total";"10,0";"10,1";"9,9";"10,0";"10,2";"9,8"
"Santa Branca (SP)";"Total";"9,6";"9,4";"9,8";"9,7";"9,5";"9,8"
"Santa Clara d'Oeste (SP)";"Total";"9,2";"9,2";"9,1";"9,0";"9,0";"9,1"
"Santa Cruz da Conceição (SP)";"Total";"10,0";"9,8";"10,1";"10,0";"9,9";"10,1"
"Santa Cruz da Esperança (SP)";"Total";"9,4";"9,2";"9,7";"9,4";"9,2";"9,6"
"Santa Cruz das Palmeiras (SP)";"Total";"9,0";"8,7";"9,2";"8,8";"8,6";"9,1"
"Santa Cruz do Rio Pardo (SP)";"Total";"9,9";"9,7";"10,1";"9,9";"9,8";"10,1"
"Santa Ernestina (SP)";"Total";"9,9";"9,7";"10,1";"9,9";"9,8";"10,0"
"Santa Fé do Sul (SP)";"Total";"10,4";"10,4";"10,4";"10,5";"10,4";"10,5"
"Santa Gertrudes (SP)";"Total";"9,8";"9,8";"9,8";"9,8";"9,8";"9,8"
"Santa Isabel (SP)";"Total";"9,8";"9,7";"9,9";"9,8";"9,7";"9,9"
"Santa Lúcia (SP)";"Total";"9,3";"9,5";"9,2";"9,1";"9,4";"8,9"
"Santa Maria da Serra (SP)";"Total";"8,8";"8,6";"8,9";"8,5";"8,5";"8,6"
"Santa Mercedes (SP)";"Total";"9,4";"9,4";"9,5";"9,4";"9,3";"9,5"
"Santana da Ponte Pensa (SP)";"Total";"9,0";"8,9";"9,0";"8,8";"8,7";"8,9"
"Santana de Parnaíba (SP)";"Total";"11,2";"11,2";"11,3";"11,6";"11,6";"11,6"
"Santa Rita d'Oeste (SP)";"Total";"9,0";"9,0";"9,1";"8,7";"8,7";"8,8"
"Santa Rita do Passa Quatro (SP)";"Total";"9,9";"9,7";"10,1";"10,0";"9,8";"10,2"
"Santa Rosa de Viterbo (SP)";"Total";"9,8";"9,8";"9,8";"9,9";"9,9";"9,9"
"Santa Salete (SP)";"Total";"9,2";"9,1";"9,4";"9,0";"8,9";"9,2"
"Santo Anastácio (SP)";"Total";"10,1";"9,9";"10,3";"10,0";"9,8";"10,2"
"Santo André (SP)";"Total";"11,3";"11,3";"11,2";"11,5";"11,7";"11,4"
"Santo Antônio da Alegria (SP)";"Total";"9,1";"8,7";"9,6";"8,9";"8,4";"9,4"
"Santo Antônio de Posse (SP)";"Total";"8,5";"8,5";"8,6";"8,4";"8,3";"8,4"
"Santo Antônio do Aracanguá (SP)";"Total";"9,4";"9,3";"9,5";"9,4";"9,1";"9,6"
"Santo Antônio do Jardim (SP)";"Total";"9,0";"8,9";"9,1";"8,8";"8,7";"8,9"
"Santo Antônio do Pinhal (SP)";"Total";"9,5";"9,3";"9,6";"9,4";"9,3";"9,5"
"Santo Expedito (SP)";"Total";"8,9";"8,7";"9,1";"8,7";"8,5";"8,9"
"Santópolis do Aguapeí (SP)";"Total";"9,4";"9,3";"9,6";"9,4";"9,3";"9,4"
"Santos (SP)";"Total";"11,9";"11,9";"11,8";"12,2";"12,4";"12,1"
"São Bento do Sapucaí (SP)";"Total";"9,2";"8,9";"9,4";"9,0";"8,7";"9,3"
"São Bernardo do Campo (SP)";"Total";"11,1";"11,1";"11,2";"11,4";"11,5";"11,4"
"São Caetano do Sul (SP)";"Total";"12,3";"12,4";"12,2";"12,7";"12,9";"12,5"
"São Carlos (SP)";"Total";"11,1";"11,2";"11,0";"11,3";"11,5";"11,2"
"São Francisco (SP)";"Total";"8,6";"8,9";"8,3";"8,1";"8,6";"7,7"
"São João da Boa Vista (SP)";"Total";"10,4";"10,3";"10,6";"10,6";"10,4";"10,7"
"São João das Duas Pontes (SP)";"Total";"8,9";"8,8";"9,0";"8,5";"8,5";"8,6"
"São João de Iracema (SP)";"Total";"9,2";"8,8";"9,5";"9,0";"8,5";"9,4"
"São João do Pau d'Alho (SP)";"Total";"9,1";"8,9";"9,4";"8,9";"8,7";"9,2"
"São Joaquim da Barra (SP)";"Total";"10,0";"9,9";"10,1";"10,1";"10,0";"10,2"
"São José da Bela Vista (SP)";"Total";"8,5";"8,3";"8,6";"8,0";"7,9";"8,1"
"São José do Barreiro (SP)";"Total";"8,1";"7,7";"8,5";"7,9";"7,4";"8,4"
"São José do Rio Pardo (SP)";"Total";"9,3";"9,1";"9,5";"9,3";"9,1";"9,5"
"São José do Rio Preto (SP)";"Total";"10,8";"10,7";"10,9";"11,0";"10,9";"11,1"
"São José dos Campos (SP)";"Total";"11,2";"11,1";"11,2";"11,5";"11,5";"11,4"
"São Lourenço da Serra (SP)";"Total";"9,6";"9,4";"9,8";"9,5";"9,3";"9,7"
"São Luiz do Paraitinga (SP)";"Total";"8,7";"8,3";"9,1";"8,4";"8,0";"8,9"
"São Manuel (SP)";"Total";"9,7";"9,8";"9,7";"9,7";"9,8";"9,7"
"São Miguel Arcanjo (SP)";"Total";"8,4";"8,2";"8,5";"8,1";"8,0";"8,3"
"São Paulo (SP)";"Total";"10,9";"10,9";"11,0";"11,2";"11,2";"11,1"
"São Pedro (SP)";"Total";"10,1";"10,0";"10,3";"10,2";"10,1";"10,3"
"São Pedro do Turvo (SP)";"Total";"8,6";"8,4";"8,8";"8,3";"8,2";"8,5"
"São Roque (SP)";"Total";"10,4";"10,3";"10,5";"10,6";"10,5";"10,6"
