"Tabela 9542 - Pessoas de 15 anos ou mais de idade, total e as alfabetizadas, por sexo, cor ou raça e grupos de idade"
"Variável - Pessoas de 15 anos ou mais de idade (Pessoas)"
"Município";"Cor ou raça";"Idade";"Ano x Alfabetização x Sexo"
"Município";"Cor ou raça";"Idade";"2022"
"Município";"Cor ou raça";"Idade";"Total";;;"Alfabetizadas";;;"Não alfabetizadas"
"Município";"Cor ou raça";"Idade";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres"
"Bálsamo (SP)";"Total";"Total";"8027";"3873";"4154";"7733";"3755";"3978";"294";"118";"176"
"Bananal (SP)";"Total";"Total";"8219";"3928";"4291";"7777";"3712";"4065";"442";"216";"226"
"Barão de Antonina (SP)";"Total";"Total";"2805";"1402";"1403";"2643";"1319";"1324";"162";"83";"79"
"Barbosa (SP)";"Total";"Total";"4553";"2194";"2359";"4214";"2027";"2187";"339";"167";"172"
"Bariri (SP)";"Total";"Total";"25995";"12622";"13373";"24990";"12191";"12799";"1005";"431";"574"
"Barra Bonita (SP)";"Total";"Total";"29236";"13934";"15302";"28082";"13448";"14634";"1154";"486";"668"
"Barra do Chapéu (SP)";"Total";"Total";"4096";"2158";"1938";"3735";"1977";"1758";"361";"181";"180"
"Barra do Turvo (SP)";"Total";"Total";"5411";"2742";"2669";"4749";"2428";"2321";"662";"314";"348"
"Barretos (SP)";"Total";"Total";"100954";"47714";"53240";"98554";"46574";"51980";"2400";"1140";"1260"
"Barrinha (SP)";"Total";"Total";"25288";"12363";"12925";"23704";"11652";"12052";"1584";"711";"873"
"Barueri (SP)";"Total";"Total";"252176";"118983";"133193";"245591";"116214";"129377";"6585";"2769";"3816"
"Bastos (SP)";"Total";"Total";"17622";"8561";"9061";"16881";"8246";"8635";"741";"315";"426"
"Batatais (SP)";"Total";"Total";"48314";"23202";"25112";"46531";"22388";"24143";"1783";"814";"969"
"Bauru (SP)";"Total";"Total";"313215";"149992";"163223";"306642";"147228";"159414";"6573";"2764";"3809"
"Bebedouro (SP)";"Total";"Total";"63125";"30115";"33010";"61424";"29390";"32034";"1701";"725";"976"
"Bento de Abreu (SP)";"Total";"Total";"2088";"1031";"1057";"1967";"984";"983";"121";"47";"74"
"Bernardino de Campos (SP)";"Total";"Total";"9703";"5177";"4526";"9384";"5051";"4333";"319";"126";"193"
"Bertioga (SP)";"Total";"Total";"50550";"24936";"25614";"48759";"23996";"24763";"1791";"940";"851"
"Bilac (SP)";"Total";"Total";"6099";"2967";"3132";"5834";"2863";"2971";"265";"104";"161"
"Birigui (SP)";"Total";"Total";"98184";"46847";"51337";"94957";"45491";"49466";"3227";"1356";"1871"
"Biritiba Mirim (SP)";"Total";"Total";"23912";"11844";"12068";"22498";"11209";"11289";"1414";"635";"779"
"Boa Esperança do Sul (SP)";"Total";"Total";"10326";"5024";"5302";"9562";"4693";"4869";"764";"331";"433"
"Bocaina (SP)";"Total";"Total";"9201";"4469";"4732";"8740";"4269";"4471";"461";"200";"261"
"Bofete (SP)";"Total";"Total";"8547";"4302";"4245";"8059";"4074";"3985";"488";"228";"260"
"Boituva (SP)";"Total";"Total";"49366";"24049";"25317";"47874";"23355";"24519";"1492";"694";"798"
"Bom Jesus dos Perdões (SP)";"Total";"Total";"17739";"8747";"8992";"16964";"8389";"8575";"775";"358";"417"
"Bom Sucesso de Itararé (SP)";"Total";"Total";"2731";"1388";"1343";"2573";"1314";"1259";"158";"74";"84"
"Borá (SP)";"Total";"Total";"727";"369";"358";"686";"349";"337";"41";"20";"21"
"Boracéia (SP)";"Total";"Total";"3738";"1867";"1871";"3555";"1790";"1765";"183";"77";"106"
"Borborema (SP)";"Total";"Total";"11941";"5864";"6077";"11249";"5548";"5701";"692";"316";"376"
"Borebi (SP)";"Total";"Total";"2121";"1035";"1086";"2048";"1004";"1044";"73";"31";"42"
"Botucatu (SP)";"Total";"Total";"119429";"56541";"62888";"116361";"55209";"61152";"3068";"1332";"1736"
"Bragança Paulista (SP)";"Total";"Total";"146188";"70095";"76093";"142212";"68356";"73856";"3976";"1739";"2237"
"Braúna (SP)";"Total";"Total";"4332";"2117";"2215";"3995";"1961";"2034";"337";"156";"181"
"Brejo Alegre (SP)";"Total";"Total";"2119";"1057";"1062";"1985";"992";"993";"134";"65";"69"
"Brodowski (SP)";"Total";"Total";"20545";"10003";"10542";"19891";"9679";"10212";"654";"324";"330"
"Brotas (SP)";"Total";"Total";"19675";"9510";"10165";"19045";"9203";"9842";"630";"307";"323"
"Buri (SP)";"Total";"Total";"15611";"7817";"7794";"14654";"7381";"7273";"957";"436";"521"
"Buritama (SP)";"Total";"Total";"14184";"6854";"7330";"13402";"6487";"6915";"782";"367";"415"
"Buritizal (SP)";"Total";"Total";"3595";"1742";"1853";"3410";"1656";"1754";"185";"86";"99"
"Cabrália Paulista (SP)";"Total";"Total";"3492";"1753";"1739";"3274";"1651";"1623";"218";"102";"116"
"Cabreúva (SP)";"Total";"Total";"37272";"18275";"18997";"35894";"17658";"18236";"1378";"617";"761"
"Caçapava (SP)";"Total";"Total";"78048";"37780";"40268";"75762";"36807";"38955";"2286";"973";"1313"
"Cachoeira Paulista (SP)";"Total";"Total";"25596";"12165";"13431";"24698";"11749";"12949";"898";"416";"482"
"Caconde (SP)";"Total";"Total";"14146";"6955";"7191";"13399";"6557";"6842";"747";"398";"349"
"Cafelândia (SP)";"Total";"Total";"13536";"6482";"7054";"12758";"6132";"6626";"778";"350";"428"
"Caiabu (SP)";"Total";"Total";"3072";"1540";"1532";"2852";"1444";"1408";"220";"96";"124"
"Caieiras (SP)";"Total";"Total";"76780";"36679";"40101";"74670";"35777";"38893";"2110";"902";"1208"
"Caiuá (SP)";"Total";"Total";"4750";"2928";"1822";"4414";"2750";"1664";"336";"178";"158"
"Cajamar (SP)";"Total";"Total";"72980";"35388";"37592";"70448";"34212";"36236";"2532";"1176";"1356"
"Cajati (SP)";"Total";"Total";"22217";"11161";"11056";"20784";"10554";"10230";"1433";"607";"826"
"Cajobi (SP)";"Total";"Total";"7626";"3770";"3856";"7220";"3602";"3618";"406";"168";"238"
"Cajuru (SP)";"Total";"Total";"19293";"9455";"9838";"18359";"8993";"9366";"934";"462";"472"
"Campina do Monte Alegre (SP)";"Total";"Total";"4839";"2433";"2406";"4579";"2307";"2272";"260";"126";"134"
"Campinas (SP)";"Total";"Total";"948165";"445346";"502819";"925284";"435534";"489750";"22881";"9812";"13069"
"Campo Limpo Paulista (SP)";"Total";"Total";"62530";"30154";"32376";"60509";"29302";"31207";"2021";"852";"1169"
"Campos do Jordão (SP)";"Total";"Total";"37993";"18334";"19659";"36649";"17713";"18936";"1344";"621";"723"
"Campos Novos Paulista (SP)";"Total";"Total";"3939";"2000";"1939";"3674";"1869";"1805";"265";"131";"134"
