"Tabela 9542 - Pessoas de 15 anos ou mais de idade, total e as alfabetizadas, por sexo, cor ou raça e grupos de idade"
"Variável - Pessoas de 15 anos ou mais de idade (Pessoas)"
"Município";"Cor ou raça";"Idade";"Ano x Alfabetização x Sexo"
"Município";"Cor ou raça";"Idade";"2022"
"Município";"Cor ou raça";"Idade";"Total";;;"Alfabetizadas";;;"Não alfabetizadas"
"Município";"Cor ou raça";"Idade";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres";"Total";"Homens";"Mulheres"
"Ibirá (SP)";"Total";"Total";"9679";"4705";"4974";"9181";"4480";"4701";"498";"225";"273"
"Ibirarema (SP)";"Total";"Total";"5231";"2555";"2676";"4948";"2433";"2515";"283";"122";"161"
"Ibitinga (SP)";"Total";"Total";"48932";"23694";"25238";"47195";"22899";"24296";"1737";"795";"942"
"Ibiúna (SP)";"Total";"Total";"60518";"30184";"30334";"56850";"28555";"28295";"3668";"1629";"2039"
"Icém (SP)";"Total";"Total";"6574";"3671";"2903";"6271";"3508";"2763";"303";"163";"140"
"Iepê (SP)";"Total";"Total";"6274";"3042";"3232";"5968";"2901";"3067";"306";"141";"165"
"Igaraçu do Tietê (SP)";"Total";"Total";"18948";"9352";"9596";"17848";"8884";"8964";"1100";"468";"632"
"Igarapava (SP)";"Total";"Total";"21551";"10309";"11242";"20438";"9765";"10673";"1113";"544";"569"
"Igaratá (SP)";"Total";"Total";"8612";"4321";"4291";"7996";"4008";"3988";"616";"313";"303"
"Iguape (SP)";"Total";"Total";"23586";"11707";"11879";"22213";"11031";"11182";"1373";"676";"697"
"Ilhabela (SP)";"Total";"Total";"28128";"13782";"14346";"27205";"13301";"13904";"923";"481";"442"
"Ilha Comprida (SP)";"Total";"Total";"11091";"5390";"5701";"10630";"5161";"5469";"461";"229";"232"
"Ilha Solteira (SP)";"Total";"Total";"21527";"10270";"11257";"20801";"9946";"10855";"726";"324";"402"
"Indaiatuba (SP)";"Total";"Total";"209764";"101464";"108300";"205312";"99517";"105795";"4452";"1947";"2505"
"Indiana (SP)";"Total";"Total";"4195";"2077";"2118";"4005";"1981";"2024";"190";"96";"94"
"Indiaporã (SP)";"Total";"Total";"3381";"1633";"1748";"3096";"1479";"1617";"285";"154";"131"
"Inúbia Paulista (SP)";"Total";"Total";"3032";"1491";"1541";"2851";"1407";"1444";"181";"84";"97"
"Ipaussu (SP)";"Total";"Total";"11037";"5343";"5694";"10534";"5162";"5372";"503";"181";"322"
"Iperó (SP)";"Total";"Total";"29061";"15776";"13285";"27891";"15182";"12709";"1170";"594";"576"
"Ipeúna (SP)";"Total";"Total";"5518";"2741";"2777";"5273";"2617";"2656";"245";"124";"121"
"Ipiguá (SP)";"Total";"Total";"5398";"2677";"2721";"5181";"2583";"2598";"217";"94";"123"
"Iporanga (SP)";"Total";"Total";"3167";"1587";"1580";"2955";"1489";"1466";"212";"98";"114"
"Ipuã (SP)";"Total";"Total";"11813";"5855";"5958";"11195";"5560";"5635";"618";"295";"323"
"Iracemápolis (SP)";"Total";"Total";"18006";"8846";"9160";"17489";"8607";"8882";"517";"239";"278"
"Irapuã (SP)";"Total";"Total";"5619";"2816";"2803";"5222";"2622";"2600";"397";"194";"203"
"Irapuru (SP)";"Total";"Total";"6160";"3590";"2570";"5803";"3420";"2383";"357";"170";"187"
"Itaberá (SP)";"Total";"Total";"14581";"7286";"7295";"13792";"6928";"6864";"789";"358";"431"
"Itaí (SP)";"Total";"Total";"20082";"10466";"9616";"18852";"9871";"8981";"1230";"595";"635"
"Itajobi (SP)";"Total";"Total";"14113";"7003";"7110";"13486";"6705";"6781";"627";"298";"329"
"Itaju (SP)";"Total";"Total";"2916";"1456";"1460";"2765";"1379";"1386";"151";"77";"74"
"Itanhaém (SP)";"Total";"Total";"90715";"42969";"47746";"87013";"41150";"45863";"3702";"1819";"1883"
"Itaoca (SP)";"Total";"Total";"2743";"1385";"1358";"2471";"1254";"1217";"272";"131";"141"
"Itapecerica da Serra (SP)";"Total";"Total";"125238";"60344";"64894";"119622";"57756";"61866";"5616";"2588";"3028"
"Itapetininga (SP)";"Total";"Total";"127706";"63391";"64315";"123714";"61628";"62086";"3992";"1763";"2229"
"Itapeva (SP)";"Total";"Total";"71983";"34996";"36987";"68805";"33552";"35253";"3178";"1444";"1734"
"Itapevi (SP)";"Total";"Total";"181193";"87328";"93865";"174498";"84334";"90164";"6695";"2994";"3701"
"Itapira (SP)";"Total";"Total";"60400";"29370";"31030";"58231";"28377";"29854";"2169";"993";"1176"
"Itapirapuã Paulista (SP)";"Total";"Total";"3402";"1775";"1627";"3065";"1608";"1457";"337";"167";"170"
"Itápolis (SP)";"Total";"Total";"32905";"15926";"16979";"31309";"15225";"16084";"1596";"701";"895"
"Itaporanga (SP)";"Total";"Total";"11378";"5581";"5797";"10508";"5190";"5318";"870";"391";"479"
"Itapuí (SP)";"Total";"Total";"10844";"5388";"5456";"10282";"5124";"5158";"562";"264";"298"
"Itapura (SP)";"Total";"Total";"3245";"1614";"1631";"3027";"1516";"1511";"218";"98";"120"
"Itaquaquecetuba (SP)";"Total";"Total";"287064";"138236";"148828";"273576";"131973";"141603";"13488";"6263";"7225"
"Itararé (SP)";"Total";"Total";"35880";"17188";"18692";"34306";"16519";"17787";"1574";"669";"905"
"Itariri (SP)";"Total";"Total";"12107";"5968";"6139";"11372";"5603";"5769";"735";"365";"370"
"Itatiba (SP)";"Total";"Total";"100319";"48551";"51768";"97718";"47409";"50309";"2601";"1142";"1459"
"Itatinga (SP)";"Total";"Total";"15331";"8210";"7121";"14453";"7771";"6682";"878";"439";"439"
"Itirapina (SP)";"Total";"Total";"13576";"8200";"5376";"13102";"7948";"5154";"474";"252";"222"
"Itirapuã (SP)";"Total";"Total";"4592";"2303";"2289";"4308";"2170";"2138";"284";"133";"151"
"Itobi (SP)";"Total";"Total";"6619";"3360";"3259";"6236";"3161";"3075";"383";"199";"184"
"Itu (SP)";"Total";"Total";"136498";"65966";"70532";"131739";"63650";"68089";"4759";"2316";"2443"
"Itupeva (SP)";"Total";"Total";"55723";"27584";"28139";"54282";"26886";"27396";"1441";"698";"743"
"Ituverava (SP)";"Total";"Total";"31231";"14831";"16400";"29808";"14171";"15637";"1423";"660";"763"
"Jaborandi (SP)";"Total";"Total";"5152";"2542";"2610";"4895";"2419";"2476";"257";"123";"134"
"Jaboticabal (SP)";"Total";"Total";"60184";"28340";"31844";"58119";"27451";"30668";"2065";"889";"1176"
"Jacareí (SP)";"Total";"Total";"195757";"93127";"102630";"190464";"90833";"99631";"5293";"2294";"2999"
"Jaci (SP)";"Total";"Total";"6099";"3078";"3021";"5698";"2875";"2823";"401";"203";"198"
"Jacupiranga (SP)";"Total";"Total";"12812";"6316";"6496";"12100";"6002";"6098";"712";"314";"398"
"Jaguariúna (SP)";"Total";"Total";"48628";"23341";"25287";"47413";"22839";"24574";"1215";"502";"713"
"Jales (SP)";"Total";"Total";"41044";"19636";"21408";"39514";"18991";"20523";"1530";"645";"885"
"Jambeiro (SP)";"Total";"Total";"5153";"2588";"2565";"4852";"2431";"2421";"301";"157";"144"
"Jandira (SP)";"Total";"Total";"94444";"45150";"49294";"91559";"43940";"47619";"2885";"1210";"1675"
"Jardinópolis (SP)";"Total";"Total";"36568";"18928";"17640";"35146";"18225";"16921";"1422";"703";"719"
"Jarinu (SP)";"Total";"Total";"29759";"14785";"14974";"28593";"14231";"14362";"1166";"554";"612"
"Jaú (SP)";"Total";"Total";"111008";"52890";"58118";"107587";"51508";"56079";"3421";"1382";"2039"
"Jeriquara (SP)";"Total";"Total";"3015";"1524";"1491";"2844";"1430";"1414";"171";"94";"77"
"Joanópolis (SP)";"Total";"Total";"10479";"5281";"5198";"9810";"4973";"4837";"669";"308";"361"
"João Ramalho (SP)";"Total";"Total";"3447";"1716";"1731";"3136";"1562";"1574";"311";"154";"157"
"José Bonifácio (SP)";"Total";"Total";"29983";"14667";"15316";"28771";"14117";"14654";"1212";"550";"662"
"Júlio Mesquita (SP)";"Total";"Total";"3421";"1648";"1773";"3209";"1564";"1645";"212";"84";"128"
"Jumirim (SP)";"Total";"Total";"2437";"1209";"1228";"2346";"1169";"1177";"91";"40";"51"
"Jundiaí (SP)";"Total";"Total";"367976";"175342";"192634";"360549";"172222";"188327";"7427";"3120";"4307"
"Junqueirópolis (SP)";"Total";"Total";"17030";"8914";"8116";"16227";"8589";"7638";"803";"325";"478"
"Juquiá (SP)";"Total";"Total";"13748";"6797";"6951";"12796";"6335";"6461";"952";"462";"490"
"Juquitiba (SP)";"Total";"Total";"21771";"10921";"10850";"20069";"10088";"9981";"1702";"833";"869"
"Lagoinha (SP)";"Total";"Total";"4321";"2195";"2126";"4056";"2069";"1987";"265";"126";"139"
"Laranjal Paulista (SP)";"Total";"Total";"21539";"10431";"11108";"20806";"10082";"10724";"733";"349";"384"
"Lavínia (SP)";"Total";"Total";"8901";"6773";"2128";"8591";"6598";"1993";"310";"175";"135"
"Lavrinhas (SP)";"Total";"Total";"5636";"2784";"2852";"5393";"2665";"2728";"243";"119";"124"
"Leme (SP)";"Total";"Total";"80170";"38908";"41262";"76469";"37086";"39383";"3701";"1822";"1879"
"Lençóis Paulista (SP)";"Total";"Total";"54210";"26536";"27674";"52344";"25750";"26594";"1866";"786";"1080"
"Limeira (SP)";"Total";"Total";"242666";"117134";"125532";"235879";"114243";"121636";"6787";"2891";"3896"
"Lindóia (SP)";"Total";"Total";"5780";"2804";"2976";"5579";"2718";"2861";"201";"86";"115"
"Lins (SP)";"Total";"Total";"61814";"29229";"32585";"59967";"28439";"31528";"1847";"790";"1057"
"Lorena (SP)";"Total";"Total";"69453";"32771";"36682";"67536";"31916";"35620";"1917";"855";"1062"
"Lourdes (SP)";"Total";"Total";"1630";"802";"828";"1464";"718";"746";"166";"84";"82"
"Louveira (SP)";"Total";"Total";"41085";"20245";"20840";"39661";"19615";"20046";"1424";"630";"794"
"Lucélia (SP)";"Total";"Total";"17045";"9592";"7453";"16194";"9142";"7052";"851";"450";"401"
"Lucianópolis (SP)";"Total";"Total";"1968";"989";"979";"1835";"914";"921";"133";"75";"58"
"Luís Antônio (SP)";"Total";"Total";"9736";"4839";"4897";"9313";"4631";"4682";"423";"208";"215"
"Luiziânia (SP)";"Total";"Total";"3763";"1841";"1922";"3481";"1715";"1766";"282";"126";"156"
"Lupércio (SP)";"Total";"Total";"3196";"1537";"1659";"2930";"1422";"1508";"266";"115";"151"
"Lutécia (SP)";"Total";"Total";"2153";"1058";"1095";"2019";"987";"1032";"134";"71";"63"
"Macatuba (SP)";"Total";"Total";"13617";"6675";"6942";"12928";"6408";"6520";"689";"267";"422"
"Macaubal (SP)";"Total";"Total";"6324";"3120";"3204";"5984";"2959";"3025";"340";"161";"179"
"Macedônia (SP)";"Total";"Total";"3354";"1618";"1736";"3139";"1510";"1629";"215";"108";"107"
"Magda (SP)";"Total";"Total";"2671";"1311";"1360";"2515";"1245";"1270";"156";"66";"90"
"Mairinque (SP)";"Total";"Total";"40537";"20229";"20308";"38976";"19523";"19453";"1561";"706";"855"
"Mairiporã (SP)";"Total";"Total";"75650";"37262";"38388";"72486";"35716";"36770";"3164";"1546";"1618"
"Manduri (SP)";"Total";"Total";"8097";"3997";"4100";"7709";"3844";"3865";"388";"153";"235"
"Marabá Paulista (SP)";"Total";"Total";"3941";"2516";"1425";"3688";"2381";"1307";"253";"135";"118"
"Maracaí (SP)";"Total";"Total";"10379";"5093";"5286";"9843";"4860";"4983";"536";"233";"303"
"Marapoama (SP)";"Total";"Total";"2726";"1365";"1361";"2587";"1301";"1286";"139";"64";"75"
"Mariápolis (SP)";"Total";"Total";"2914";"1447";"1467";"2761";"1385";"1376";"153";"62";"91"
"Marília (SP)";"Total";"Total";"195156";"92255";"102901";"190025";"90172";"99853";"5131";"2083";"3048"
"Marinópolis (SP)";"Total";"Total";"1603";"803";"800";"1438";"718";"720";"165";"85";"80"
"Martinópolis (SP)";"Total";"Total";"20635";"10636";"9999";"19415";"10001";"9414";"1220";"635";"585"
"Matão (SP)";"Total";"Total";"65937";"31958";"33979";"63471";"30934";"32537";"2466";"1024";"1442"
"Mauá (SP)";"Total";"Total";"340612";"162089";"178523";"329506";"157452";"172054";"11106";"4637";"6469"
"Mendonça (SP)";"Total";"Total";"5052";"2524";"2528";"4790";"2389";"2401";"262";"135";"127"
"Meridiano (SP)";"Total";"Total";"3798";"1867";"1931";"3583";"1764";"1819";"215";"103";"112"
"Mesópolis (SP)";"Total";"Total";"1586";"804";"782";"1411";"712";"699";"175";"92";"83"
"Miguelópolis (SP)";"Total";"Total";"15777";"7705";"8072";"14601";"7101";"7500";"1176";"604";"572"
"Mineiros do Tietê (SP)";"Total";"Total";"9217";"4548";"4669";"8674";"4317";"4357";"543";"231";"312"
"Miracatu (SP)";"Total";"Total";"14610";"7263";"7347";"13455";"6665";"6790";"1155";"598";"557"
"Mira Estrela (SP)";"Total";"Total";"2614";"1287";"1327";"2472";"1220";"1252";"142";"67";"75"
"Mirandópolis (SP)";"Total";"Total";"24143";"13931";"10212";"23001";"13385";"9616";"1142";"546";"596"
"Mirante do Paranapanema (SP)";"Total";"Total";"13043";"6466";"6577";"11965";"5930";"6035";"1078";"536";"542"
"Mirassol (SP)";"Total";"Total";"52061";"25057";"27004";"50593";"24480";"26113";"1468";"577";"891"
"Mirassolândia (SP)";"Total";"Total";"3806";"1921";"1885";"3627";"1835";"1792";"179";"86";"93"
"Mococa (SP)";"Total";"Total";"56360";"27524";"28836";"54345";"26615";"27730";"2015";"909";"1106"
"Mogi das Cruzes (SP)";"Total";"Total";"363219";"172198";"191021";"352563";"167472";"185091";"10656";"4726";"5930"
"Mogi Guaçu (SP)";"Total";"Total";"126389";"60915";"65474";"122838";"59402";"63436";"3551";"1513";"2038"
"Mogi Mirim (SP)";"Total";"Total";"76948";"37062";"39886";"74603";"35972";"38631";"2345";"1090";"1255"
"Mombuca (SP)";"Total";"Total";"2884";"1410";"1474";"2680";"1326";"1354";"204";"84";"120"
"Monções (SP)";"Total";"Total";"1626";"796";"830";"1532";"757";"775";"94";"39";"55"
"Mongaguá (SP)";"Total";"Total";"50593";"25634";"24959";"48655";"24623";"24032";"1938";"1011";"927"
"Monte Alegre do Sul (SP)";"Total";"Total";"7275";"3579";"3696";"6969";"3433";"3536";"306";"146";"160"
"Monte Alto (SP)";"Total";"Total";"40043";"19412";"20631";"38718";"18890";"19828";"1325";"522";"803"
"Monte Aprazível (SP)";"Total";"Total";"18599";"8944";"9655";"17895";"8626";"9269";"704";"318";"386"
"Monte Azul Paulista (SP)";"Total";"Total";"15258";"7542";"7716";"14525";"7198";"7327";"733";"344";"389"
"Monte Castelo (SP)";"Total";"Total";"3473";"1695";"1778";"3214";"1586";"1628";"259";"109";"150"
"Monteiro Lobato (SP)";"Total";"Total";"3308";"1662";"1646";"3040";"1515";"1525";"268";"147";"121"
"Monte Mor (SP)";"Total";"Total";"51122";"24977";"26145";"48860";"23946";"24914";"2262";"1031";"1231"
"Morro Agudo (SP)";"Total";"Total";"22444";"10959";"11485";"21288";"10379";"10909";"1156";"580";"576"
"Morungaba (SP)";"Total";"Total";"11111";"5425";"5686";"10707";"5228";"5479";"404";"197";"207"
"Motuca (SP)";"Total";"Total";"3302";"1646";"1656";"3071";"1528";"1543";"231";"118";"113"
"Murutinga do Sul (SP)";"Total";"Total";"3183";"1554";"1629";"3003";"1479";"1524";"180";"75";"105"
"Nantes (SP)";"Total";"Total";"2110";"1030";"1080";"1952";"960";"992";"158";"70";"88"
"Narandiba (SP)";"Total";"Total";"4408";"2177";"2231";"4139";"2045";"2094";"269";"132";"137"
"Natividade da Serra (SP)";"Total";"Total";"5708";"2970";"2738";"5103";"2652";"2451";"605";"318";"287"
"Nazaré Paulista (SP)";"Total";"Total";"14857";"7504";"7353";"13803";"7034";"6769";"1054";"470";"584"
"Neves Paulista (SP)";"Total";"Total";"8164";"4027";"4137";"7762";"3858";"3904";"402";"169";"233"
"Nhandeara (SP)";"Total";"Total";"8362";"3981";"4381";"7894";"3807";"4087";"468";"174";"294"
"Nipoã (SP)";"Total";"Total";"3780";"1929";"1851";"3512";"1804";"1708";"268";"125";"143"
"Nova Aliança (SP)";"Total";"Total";"5484";"2678";"2806";"5232";"2576";"2656";"252";"102";"150"
"Nova Campina (SP)";"Total";"Total";"6614";"3292";"3322";"6100";"3046";"3054";"514";"246";"268"
"Nova Canaã Paulista (SP)";"Total";"Total";"1765";"875";"890";"1663";"831";"832";"102";"44";"58"
"Nova Castilho (SP)";"Total";"Total";"854";"420";"434";"819";"405";"414";"35";"15";"20"
"Nova Europa (SP)";"Total";"Total";"7512";"3727";"3785";"7101";"3523";"3578";"411";"204";"207"
"Nova Granada (SP)";"Total";"Total";"15817";"7735";"8082";"14974";"7312";"7662";"843";"423";"420"
"Nova Guataporanga (SP)";"Total";"Total";"1783";"863";"920";"1604";"788";"816";"179";"75";"104"
"Nova Independência (SP)";"Total";"Total";"3790";"2148";"1642";"3643";"2078";"1565";"147";"70";"77"
"Novais (SP)";"Total";"Total";"3472";"1744";"1728";"3284";"1639";"1645";"188";"105";"83"
"Nova Luzitânia (SP)";"Total";"Total";"2366";"1192";"1174";"2221";"1129";"1092";"145";"63";"82"
"Nova Odessa (SP)";"Total";"Total";"50997";"24706";"26291";"49909";"24257";"25652";"1088";"449";"639"
"Novo Horizonte (SP)";"Total";"Total";"31547";"15415";"16132";"29861";"14636";"15225";"1686";"779";"907"
"Nuporanga (SP)";"Total";"Total";"6001";"2934";"3067";"5729";"2805";"2924";"272";"129";"143"
"Ocauçu (SP)";"Total";"Total";"3469";"1760";"1709";"3251";"1657";"1594";"218";"103";"115"
"Óleo (SP)";"Total";"Total";"2080";"1047";"1033";"1974";"1005";"969";"106";"42";"64"
"Olímpia (SP)";"Total";"Total";"45082";"21636";"23446";"43525";"20889";"22636";"1557";"747";"810"
"Onda Verde (SP)";"Total";"Total";"3834";"1899";"1935";"3615";"1787";"1828";"219";"112";"107"
"Oriente (SP)";"Total";"Total";"5057";"2427";"2630";"4845";"2350";"2495";"212";"77";"135"
"Orindiúva (SP)";"Total";"Total";"4805";"2394";"2411";"4515";"2257";"2258";"290";"137";"153"
"Orlândia (SP)";"Total";"Total";"31858";"15157";"16701";"30728";"14701";"16027";"1130";"456";"674"
"Osasco (SP)";"Total";"Total";"592862";"277302";"315560";"576209";"270163";"306046";"16653";"7139";"9514"
"Oscar Bressane (SP)";"Total";"Total";"2077";"973";"1104";"1956";"921";"1035";"121";"52";"69"
"Osvaldo Cruz (SP)";"Total";"Total";"26476";"13159";"13317";"25497";"12799";"12698";"979";"360";"619"
"Ourinhos (SP)";"Total";"Total";"85192";"40066";"45126";"82436";"39038";"43398";"2756";"1028";"1728"
"Ouroeste (SP)";"Total";"Total";"8426";"4108";"4318";"7960";"3893";"4067";"466";"215";"251"
"Ouro Verde (SP)";"Total";"Total";"6215";"2996";"3219";"5705";"2774";"2931";"510";"222";"288"
"Pacaembu (SP)";"Total";"Total";"13289";"9007";"4282";"12636";"8617";"4019";"653";"390";"263"
"Palestina (SP)";"Total";"Total";"9423";"4693";"4730";"8813";"4419";"4394";"610";"274";"336"
"Palmares Paulista (SP)";"Total";"Total";"7782";"3916";"3866";"7247";"3657";"3590";"535";"259";"276"
"Palmeira d'Oeste (SP)";"Total";"Total";"7636";"3780";"3856";"7173";"3569";"3604";"463";"211";"252"
"Palmital (SP)";"Total";"Total";"16422";"7882";"8540";"15765";"7614";"8151";"657";"268";"389"
"Panorama (SP)";"Total";"Total";"11875";"5844";"6031";"11083";"5449";"5634";"792";"395";"397"
"Paraguaçu Paulista (SP)";"Total";"Total";"33547";"16660";"16887";"32001";"15965";"16036";"1546";"695";"851"
"Paraibuna (SP)";"Total";"Total";"14417";"7235";"7182";"13457";"6774";"6683";"960";"461";"499"
"Paraíso (SP)";"Total";"Total";"5087";"2541";"2546";"4785";"2408";"2377";"302";"133";"169"
"Paranapanema (SP)";"Total";"Total";"15422";"7792";"7630";"14544";"7415";"7129";"878";"377";"501"
"Paranapuã (SP)";"Total";"Total";"3323";"1665";"1658";"3098";"1557";"1541";"225";"108";"117"
"Parapuã (SP)";"Total";"Total";"8899";"4357";"4542";"8301";"4107";"4194";"598";"250";"348"
"Pardinho (SP)";"Total";"Total";"5716";"2911";"2805";"5416";"2769";"2647";"300";"142";"158"
"Pariquera-Açu (SP)";"Total";"Total";"15454";"7592";"7862";"14692";"7243";"7449";"762";"349";"413"
"Parisi (SP)";"Total";"Total";"2382";"1162";"1220";"2222";"1072";"1150";"160";"90";"70"
"Patrocínio Paulista (SP)";"Total";"Total";"11547";"5787";"5760";"11067";"5547";"5520";"480";"240";"240"
"Paulicéia (SP)";"Total";"Total";"6271";"3151";"3120";"5944";"3001";"2943";"327";"150";"177"
"Paulínia (SP)";"Total";"Total";"89423";"42846";"46577";"87468";"42036";"45432";"1955";"810";"1145"
"Paulistânia (SP)";"Total";"Total";"1697";"858";"839";"1568";"792";"776";"129";"66";"63"
"Paulo de Faria (SP)";"Total";"Total";"6192";"3115";"3077";"5744";"2873";"2871";"448";"242";"206"
"Pederneiras (SP)";"Total";"Total";"36422";"17947";"18475";"34743";"17184";"17559";"1679";"763";"916"
"Pedra Bela (SP)";"Total";"Total";"5479";"2844";"2635";"5080";"2658";"2422";"399";"186";"213"
"Pedranópolis (SP)";"Total";"Total";"2367";"1175";"1192";"2231";"1122";"1109";"136";"53";"83"
"Pedregulho (SP)";"Total";"Total";"12609";"6276";"6333";"11852";"5894";"5958";"757";"382";"375"
"Pedreira (SP)";"Total";"Total";"36104";"17556";"18548";"34927";"17053";"17874";"1177";"503";"674"
"Pedrinhas Paulista (SP)";"Total";"Total";"2375";"1159";"1216";"2258";"1104";"1154";"117";"55";"62"
"Pedro de Toledo (SP)";"Total";"Total";"9005";"4539";"4466";"8345";"4194";"4151";"660";"345";"315"
"Penápolis (SP)";"Total";"Total";"50660";"24131";"26529";"49046";"23390";"25656";"1614";"741";"873"
"Pereira Barreto (SP)";"Total";"Total";"19890";"9519";"10371";"18809";"9073";"9736";"1081";"446";"635"
"Pereiras (SP)";"Total";"Total";"7018";"3498";"3520";"6684";"3320";"3364";"334";"178";"156"
"Peruíbe (SP)";"Total";"Total";"55348";"26339";"29009";"53131";"25289";"27842";"2217";"1050";"1167"
"Piacatu (SP)";"Total";"Total";"4580";"2267";"2313";"4256";"2128";"2128";"324";"139";"185"
"Piedade (SP)";"Total";"Total";"43495";"21749";"21746";"41503";"20888";"20615";"1992";"861";"1131"
"Pilar do Sul (SP)";"Total";"Total";"22224";"11125";"11099";"21088";"10600";"10488";"1136";"525";"611"
"Pindamonhangaba (SP)";"Total";"Total";"133436";"63929";"69507";"129992";"62365";"67627";"3444";"1564";"1880"
"Pindorama (SP)";"Total";"Total";"12201";"6020";"6181";"11591";"5787";"5804";"610";"233";"377"
"Pinhalzinho (SP)";"Total";"Total";"12676";"6302";"6374";"12194";"6087";"6107";"482";"215";"267"
"Piquerobi (SP)";"Total";"Total";"2739";"1296";"1443";"2524";"1196";"1328";"215";"100";"115"
"Piquete (SP)";"Total";"Total";"10419";"4897";"5522";"10076";"4741";"5335";"343";"156";"187"
"Piracaia (SP)";"Total";"Total";"21805";"10589";"11216";"20613";"10049";"10564";"1192";"540";"652"
"Piracicaba (SP)";"Total";"Total";"349714";"167039";"182675";"341405";"163249";"178156";"8309";"3790";"4519"
"Piraju (SP)";"Total";"Total";"24257";"11599";"12658";"23456";"11283";"12173";"801";"316";"485"
"Pirajuí (SP)";"Total";"Total";"19104";"10021";"9083";"18109";"9563";"8546";"995";"458";"537"
"Pirangi (SP)";"Total";"Total";"9111";"4513";"4598";"8645";"4304";"4341";"466";"209";"257"
"Pirapora do Bom Jesus (SP)";"Total";"Total";"14194";"6956";"7238";"13539";"6644";"6895";"655";"312";"343"
"Pirapozinho (SP)";"Total";"Total";"20830";"10003";"10827";"19914";"9612";"10302";"916";"391";"525"
"Pirassununga (SP)";"Total";"Total";"60745";"28812";"31933";"58872";"27923";"30949";"1873";"889";"984"
"Piratininga (SP)";"Total";"Total";"12218";"5879";"6339";"11793";"5696";"6097";"425";"183";"242"
"Pitangueiras (SP)";"Total";"Total";"27156";"13476";"13680";"25660";"12787";"12873";"1496";"689";"807"
"Planalto (SP)";"Total";"Total";"3588";"1774";"1814";"3304";"1628";"1676";"284";"146";"138"
"Platina (SP)";"Total";"Total";"2414";"1223";"1191";"2256";"1146";"1110";"158";"77";"81"
"Poá (SP)";"Total";"Total";"83883";"39549";"44334";"81664";"38640";"43024";"2219";"909";"1310"
"Poloni (SP)";"Total";"Total";"4609";"2253";"2356";"4319";"2111";"2208";"290";"142";"148"
"Pompéia (SP)";"Total";"Total";"16699";"8121";"8578";"16102";"7888";"8214";"597";"233";"364"
"Pongaí (SP)";"Total";"Total";"2875";"1458";"1417";"2738";"1407";"1331";"137";"51";"86"
"Pontal (SP)";"Total";"Total";"30089";"15059";"15030";"28326";"14224";"14102";"1763";"835";"928"
"Pontalinda (SP)";"Total";"Total";"3307";"1744";"1563";"2955";"1556";"1399";"352";"188";"164"
"Pontes Gestal (SP)";"Total";"Total";"1948";"955";"993";"1784";"891";"893";"164";"64";"100"
"Populina (SP)";"Total";"Total";"3425";"1684";"1741";"3142";"1551";"1591";"283";"133";"150"
"Porangaba (SP)";"Total";"Total";"8690";"4433";"4257";"8227";"4184";"4043";"463";"249";"214"
"Porto Feliz (SP)";"Total";"Total";"46309";"23548";"22761";"44663";"22769";"21894";"1646";"779";"867"
"Porto Ferreira (SP)";"Total";"Total";"43676";"21005";"22671";"41997";"20241";"21756";"1679";"764";"915"
"Potim (SP)";"Total";"Total";"16575";"9539";"7036";"15787";"9014";"6773";"788";"525";"263"
"Potirendaba (SP)";"Total";"Total";"15082";"7397";"7685";"14423";"7078";"7345";"659";"319";"340"
"Pracinha (SP)";"Total";"Total";"2335";"1729";"606";"2241";"1678";"563";"94";"51";"43"
"Pradópolis (SP)";"Total";"Total";"13925";"6824";"7101";"13131";"6492";"6639";"794";"332";"462"
"Praia Grande (SP)";"Total";"Total";"282648";"131835";"150813";"275023";"128221";"146802";"7625";"3614";"4011"
"Pratânia (SP)";"Total";"Total";"4037";"2017";"2020";"3693";"1831";"1862";"344";"186";"158"
"Presidente Alves (SP)";"Total";"Total";"3109";"1522";"1587";"2918";"1440";"1478";"191";"82";"109"
"Presidente Bernardes (SP)";"Total";"Total";"12589";"7143";"5446";"12020";"6858";"5162";"569";"285";"284"
"Presidente Epitácio (SP)";"Total";"Total";"32444";"15437";"17007";"30874";"14714";"16160";"1570";"723";"847"
"Presidente Prudente (SP)";"Total";"Total";"187633";"88321";"99312";"183026";"86382";"96644";"4607";"1939";"2668"
"Presidente Venceslau (SP)";"Total";"Total";"29696";"14214";"15482";"28296";"13625";"14671";"1400";"589";"811"
"Promissão (SP)";"Total";"Total";"28685";"13919";"14766";"27645";"13444";"14201";"1040";"475";"565"
"Quadra (SP)";"Total";"Total";"2760";"1408";"1352";"2604";"1331";"1273";"156";"77";"79"
"Quatá (SP)";"Total";"Total";"10587";"5211";"5376";"9846";"4883";"4963";"741";"328";"413"
"Queiroz (SP)";"Total";"Total";"2577";"1291";"1286";"2396";"1202";"1194";"181";"89";"92"
"Queluz (SP)";"Total";"Total";"7365";"3602";"3763";"7025";"3427";"3598";"340";"175";"165"
"Quintana (SP)";"Total";"Total";"5674";"2793";"2881";"5369";"2660";"2709";"305";"133";"172"
"Rafard (SP)";"Total";"Total";"7268";"3531";"3737";"6957";"3387";"3570";"311";"144";"167"
"Rancharia (SP)";"Total";"Total";"23408";"11169";"12239";"22258";"10694";"11564";"1150";"475";"675"
