"Tabela 10061 - Pessoas de 18 anos ou mais de idade, por nível de instrução, segundo os grupos de idade, o sexo e a cor ou raça"
"Variável - Pessoas de 18 anos ou mais de idade (Pessoas)"
"Município","Sexo","Cor ou raça","Ano x Nível de instrução x Grupo de idade"
"Município","Sexo","Cor ou raça","2022"
"Município","Sexo","Cor ou raça","Total","Sem instrução e fundamental incompleto","Fundamental completo e médio incompleto","Médio completo e superior incompleto","Superior completo"
"Município","Sexo","Cor ou raça","Total","Total","Total","Total","Total"
"Ibaté (SP)","Mulheres","Total","12362","3968","2198","4843","1352"
"Ibirá (SP)","Total","Total","9236","3235","1284","3488","1230"
"Ibirá (SP)","Homens","Total","4454","1638","585","1734","497"
"Ibirá (SP)","Mulheres","Total","4782","1597","699","1754","733"
"Ibirarema (SP)","Total","Total","4997","1809","677","1803","709"
"Ibirarema (SP)","Homens","Total","2443","883","374","922","264"
"Ibirarema (SP)","Mulheres","Total","2554","926","303","881","444"
"Ibitinga (SP)","Total","Total","46689","17818","8489","16277","4105"
"Ibitinga (SP)","Homens","Total","22587","8631","4109","7999","1849"
"Ibitinga (SP)","Mulheres","Total","24101","9187","4380","8278","2256"
"Ibiúna (SP)","Total","Total","57312","22497","9440","18918","6458"
"Ibiúna (SP)","Homens","Total","28527","11531","5052","9539","2405"
"Ibiúna (SP)","Mulheres","Total","28785","10965","4388","9379","4053"
"Icém (SP)","Total","Total","6296","2249","1268","2172","606"
"Icém (SP)","Homens","Total","3522","1271","869","1174","208"
"Icém (SP)","Mulheres","Total","2773","978","400","999","397"
"Iepê (SP)","Total","Total","5957","2102","635","2483","737"
"Iepê (SP)","Homens","Total","2887","1106","316","1238","228"
"Iepê (SP)","Mulheres","Total","3070","996","320","1245","510"
"Igaraçu do Tietê (SP)","Total","Total","17994","7140","2738","6591","1526"
"Igaraçu do Tietê (SP)","Homens","Total","8859","3360","1546","3304","648"
"Igaraçu do Tietê (SP)","Mulheres","Total","9135","3779","1192","3286","877"
"Igarapava (SP)","Total","Total","20602","7773","3378","6581","2869"
"Igarapava (SP)","Homens","Total","9763","3903","1852","2993","1015"
"Igarapava (SP)","Mulheres","Total","10839","3870","1526","3588","1855"
"Igaratá (SP)","Total","Total","8162","3213","1285","2810","854"
"Igaratá (SP)","Homens","Total","4097","1655","720","1392","330"
"Igaratá (SP)","Mulheres","Total","4065","1558","565","1418","524"
"Iguape (SP)","Total","Total","22381","8041","3204","8296","2839"
"Iguape (SP)","Homens","Total","11000","4252","1659","4042","1047"
"Iguape (SP)","Mulheres","Total","11380","3788","1545","4254","1792"
"Ilhabela (SP)","Total","Total","26629","6465","4468","10448","5248"
"Ilhabela (SP)","Homens","Total","12974","3430","2460","4905","2179"
"Ilhabela (SP)","Mulheres","Total","13655","3035","2008","5543","3069"
"Ilha Comprida (SP)","Total","Total","10583","3133","1703","4096","1651"
"Ilha Comprida (SP)","Homens","Total","5122","1637","856","1950","680"
"Ilha Comprida (SP)","Mulheres","Total","5460","1496","847","2146","971"
"Ilha Solteira (SP)","Total","Total","20692","4582","2977","8423","4709"
"Ilha Solteira (SP)","Homens","Total","9858","2139","1628","4163","1928"
"Ilha Solteira (SP)","Mulheres","Total","10834","2443","1350","4260","2781"
"Indaiatuba (SP)","Total","Total","200336","42220","25217","84446","48453"
"Indaiatuba (SP)","Homens","Total","96641","19732","12574","41759","22576"
"Indaiatuba (SP)","Mulheres","Total","103694","22487","12643","42687","25877"
"Indiana (SP)","Total","Total","4023","1287","596","1547","593"
"Indiana (SP)","Homens","Total","1985","660","328","795","202"
"Indiana (SP)","Mulheres","Total","2037","627","267","752","391"
"Indiaporã (SP)","Total","Total","3252","1263","514","989","486"
"Indiaporã (SP)","Homens","Total","1571","602","280","537","153"
"Indiaporã (SP)","Mulheres","Total","1681","661","234","452","333"
"Inúbia Paulista (SP)","Total","Total","2865","842","377","1233","413"
"Inúbia Paulista (SP)","Homens","Total","1420","432","218","607","164"
"Inúbia Paulista (SP)","Mulheres","Total","1444","410","159","626","249"
"Ipaussu (SP)","Total","Total","10457","3535","1687","3619","1617"
"Ipaussu (SP)","Homens","Total","5024","1661","904","1793","666"
"Ipaussu (SP)","Mulheres","Total","5433","1874","783","1825","951"
"Iperó (SP)","Total","Total","27511","8662","5863","10740","2247"
"Iperó (SP)","Homens","Total","15084","5078","3544","5526","937"
"Iperó (SP)","Mulheres","Total","12427","3584","2318","5214","1311"
"Ipeúna (SP)","Total","Total","5234","1598","917","1907","812"
"Ipeúna (SP)","Homens","Total","2605","791","524","963","326"
"Ipeúna (SP)","Mulheres","Total","2629","806","393","943","486"
"Ipiguá (SP)","Total","Total","5176","1947","829","1865","535"
"Ipiguá (SP)","Homens","Total","2562","1008","419","919","215"
"Ipiguá (SP)","Mulheres","Total","2614","939","409","946","320"
"Iporanga (SP)","Total","Total","2963","1042","437","1143","342"
"Iporanga (SP)","Homens","Total","1485","543","273","569","100"
"Iporanga (SP)","Mulheres","Total","1478","499","164","574","242"
"Ipuã (SP)","Total","Total","11196","4341","1532","4117","1205"
"Ipuã (SP)","Homens","Total","5552","2135","871","2062","485"
"Ipuã (SP)","Mulheres","Total","5644","2206","662","2056","720"
"Iracemápolis (SP)","Total","Total","17134","4517","2714","7266","2638"
"Iracemápolis (SP)","Homens","Total","8413","2233","1387","3609","1185"
"Iracemápolis (SP)","Mulheres","Total","8721","2283","1327","3657","1453"
"Irapuã (SP)","Total","Total","5346","2267","691","1916","472"
"Irapuã (SP)","Homens","Total","2671","1161","339","973","198"
"Irapuã (SP)","Mulheres","Total","2675","1106","353","943","274"
"Irapuru (SP)","Total","Total","5921","2400","879","1894","748"
"Irapuru (SP)","Homens","Total","3444","1481","607","1063","293"
"Irapuru (SP)","Mulheres","Total","2477","919","273","832","454"
"Itaberá (SP)","Total","Total","13821","5432","2189","4905","1296"
"Itaberá (SP)","Homens","Total","6898","2786","1094","2528","489"
"Itaberá (SP)","Mulheres","Total","6924","2646","1095","2377","806"
"Itaí (SP)","Total","Total","19047","7834","2917","6304","1993"
"Itaí (SP)","Homens","Total","9981","4272","1720","3190","799"
"Itaí (SP)","Mulheres","Total","9066","3562","1196","3114","1194"
"Itajobi (SP)","Total","Total","13444","5452","2258","4003","1730"
"Itajobi (SP)","Homens","Total","6679","2727","1278","1981","692"
"Itajobi (SP)","Mulheres","Total","6765","2725","980","2021","1038"
"Itaju (SP)","Total","Total","2728","1232","643","604","250"
"Itaju (SP)","Homens","Total","1359","617","337","303","103"
"Itaju (SP)","Mulheres","Total","1369","615","305","302","147"
"Itanhaém (SP)","Total","Total","86274","23436","14805","35784","12250"
"Itanhaém (SP)","Homens","Total","40487","11466","7384","16970","4667"
"Itanhaém (SP)","Mulheres","Total","45787","11970","7421","18814","7583"
"Itaoca (SP)","Total","Total","2586","1051","316","967","252"
"Itaoca (SP)","Homens","Total","1302","572","169","477","83"
"Itaoca (SP)","Mulheres","Total","1284","479","147","490","168"
"Itapecerica da Serra (SP)","Total","Total","117282","32132","18649","51540","14960"
"Itapecerica da Serra (SP)","Homens","Total","56146","15538","10019","24753","5835"
"Itapecerica da Serra (SP)","Mulheres","Total","61136","16595","8630","26787","9125"
"Itapetininga (SP)","Total","Total","120936","31658","16613","51904","20761"
"Itapetininga (SP)","Homens","Total","59943","16012","8973","26552","8405"
"Itapetininga (SP)","Mulheres","Total","60993","15646","7640","25352","12356"
"Itapeva (SP)","Total","Total","67937","22067","9850","25775","10245"
"Itapeva (SP)","Homens","Total","32796","10515","4973","13221","4087"
"Itapeva (SP)","Mulheres","Total","35140","11552","4877","12555","6157"
"Itapevi (SP)","Total","Total","170529","45540","28983","80042","15964"
"Itapevi (SP)","Homens","Total","81695","22220","15133","37802","6540"
"Itapevi (SP)","Mulheres","Total","88834","23320","13850","42240","9424"
"Itapira (SP)","Total","Total","58203","17588","9269","22136","9210"
"Itapira (SP)","Homens","Total","28138","8581","4698","11169","3689"
"Itapira (SP)","Mulheres","Total","30065","9006","4571","10967","5521"
"Itapirapuã Paulista (SP)","Total","Total","3127","1297","386","1281","163"
"Itapirapuã Paulista (SP)","Homens","Total","1625","677","215","690","43"
"Itapirapuã Paulista (SP)","Mulheres","Total","1502","620","171","591","121"
"Itápolis (SP)","Total","Total","31521","11194","5068","10203","5057"
"Itápolis (SP)","Homens","Total","15198","5420","2651","5166","1961"
"Itápolis (SP)","Mulheres","Total","16323","5774","2417","5036","3096"
"Itaporanga (SP)","Total","Total","10746","4514","1494","3573","1166"
"Itaporanga (SP)","Homens","Total","5291","2199","788","1884","420"
"Itaporanga (SP)","Mulheres","Total","5455","2315","706","1688","746"
"Itapuí (SP)","Total","Total","10244","3779","1864","3627","975"
"Itapuí (SP)","Homens","Total","5071","1860","1003","1848","360"
"Itapuí (SP)","Mulheres","Total","5173","1919","860","1779","614"
"Itapura (SP)","Total","Total","3112","1103","533","1251","225"
"Itapura (SP)","Homens","Total","1546","533","283","640","89"
"Itapura (SP)","Mulheres","Total","1566","570","249","611","136"
"Itaquaquecetuba (SP)","Total","Total","269704","78162","44383","124327","22832"
"Itaquaquecetuba (SP)","Homens","Total","129521","37583","23319","59848","8772"
"Itaquaquecetuba (SP)","Mulheres","Total","140183","40580","21063","64480","14060"
"Itararé (SP)","Total","Total","33774","12190","5616","11622","4346"
"Itararé (SP)","Homens","Total","16209","6058","2899","5545","1707"
"Itararé (SP)","Mulheres","Total","17565","6132","2717","6077","2639"
"Itariri (SP)","Total","Total","11395","4585","2132","3751","927"
"Itariri (SP)","Homens","Total","5658","2416","1237","1702","303"
"Itariri (SP)","Mulheres","Total","5737","2169","895","2049","624"
"Itatiba (SP)","Total","Total","95806","21894","14279","39096","20536"
"Itatiba (SP)","Homens","Total","46195","10403","7512","19325","8956"
"Itatiba (SP)","Mulheres","Total","49611","11492","6767","19772","11580"
"Itatinga (SP)","Total","Total","14514","5363","2800","4760","1591"
"Itatinga (SP)","Homens","Total","7859","2877","1745","2612","625"
"Itatinga (SP)","Mulheres","Total","6655","2486","1055","2148","966"
"Itirapina (SP)","Total","Total","13004","4456","3065","4339","1144"
"Itirapina (SP)","Homens","Total","7911","2924","2116","2336","536"
"Itirapina (SP)","Mulheres","Total","5093","1532","950","2003","608"
"Itirapuã (SP)","Total","Total","4343","1759","624","1590","370"
"Itirapuã (SP)","Homens","Total","2194","932","362","779","121"
"Itirapuã (SP)","Mulheres","Total","2148","827","261","811","249"
"Itobi (SP)","Total","Total","6333","2407","956","2284","686"
"Itobi (SP)","Homens","Total","3192","1292","555","1098","247"
"Itobi (SP)","Mulheres","Total","3140","1115","401","1186","439"
"Itu (SP)","Total","Total","129940","32604","20270","53286","23780"
"Itu (SP)","Homens","Total","62564","15957","10469","25973","10165"
"Itu (SP)","Mulheres","Total","67376","16648","9801","27313","13614"
"Itupeva (SP)","Total","Total","52762","12714","7091","22732","10225"
"Itupeva (SP)","Homens","Total","26141","6431","3814","10966","4929"
"Itupeva (SP)","Mulheres","Total","26621","6282","3277","11766","5295"
"Ituverava (SP)","Total","Total","29927","9511","4721","10395","5299"
"Ituverava (SP)","Homens","Total","14144","4597","2401","4991","2154"
"Ituverava (SP)","Mulheres","Total","15783","4914","2320","5404","3145"
"Jaborandi (SP)","Total","Total","4935","1842","773","1565","755"
"Jaborandi (SP)","Homens","Total","2426","936","440","759","291"
"Jaborandi (SP)","Mulheres","Total","2509","906","333","806","464"
"Jaboticabal (SP)","Total","Total","57667","15255","8667","21217","12529"
"Jaboticabal (SP)","Homens","Total","27028","7127","4156","10209","5536"
"Jaboticabal (SP)","Mulheres","Total","30640","8128","4510","11008","6994"
"Jacareí (SP)","Total","Total","186335","40652","22540","83892","39252"
"Jacareí (SP)","Homens","Total","88093","18205","11424","41204","17260"
"Jacareí (SP)","Mulheres","Total","98242","22447","11116","42688","21991"
"Jaci (SP)","Total","Total","5802","2176","1178","1927","521"
"Jaci (SP)","Homens","Total","2923","1145","630","967","180"
"Jaci (SP)","Mulheres","Total","2879","1031","548","960","341"
"Jacupiranga (SP)","Total","Total","12096","4808","1915","3821","1552"
"Jacupiranga (SP)","Homens","Total","5958","2447","1077","1831","603"
"Jacupiranga (SP)","Mulheres","Total","6138","2361","838","1990","949"
"Jaguariúna (SP)","Total","Total","45960","10214","5984","20130","9631"
"Jaguariúna (SP)","Homens","Total","22191","4910","3008","9949","4324"
"Jaguariúna (SP)","Mulheres","Total","23769","5304","2977","10181","5307"
"Jales (SP)","Total","Total","39556","11858","4397","13668","9633"
"Jales (SP)","Homens","Total","18842","5712","2332","6771","4027"
"Jales (SP)","Mulheres","Total","20714","6145","2066","6897","5606"
"Jambeiro (SP)","Total","Total","4914","1560","603","2007","744"
"Jambeiro (SP)","Homens","Total","2484","834","315","1048","286"
"Jambeiro (SP)","Mulheres","Total","2430","726","287","959","458"
"Jandira (SP)","Total","Total","88769","20320","12241","42209","13999"
"Jandira (SP)","Homens","Total","42212","9496","6247","20368","6100"
"Jandira (SP)","Mulheres","Total","46556","10824","5993","21841","7898"
"Jardinópolis (SP)","Total","Total","34646","11542","7230","11402","4473"
"Jardinópolis (SP)","Homens","Total","17968","6376","4073","5722","1796"
"Jardinópolis (SP)","Mulheres","Total","16679","5165","3157","5679","2677"
"Jarinu (SP)","Total","Total","28162","8671","5504","10345","3642"
"Jarinu (SP)","Homens","Total","14010","4368","2894","5072","1675"
"Jarinu (SP)","Mulheres","Total","14152","4303","2610","5273","1967"
"Jaú (SP)","Total","Total","105692","30535","20409","35826","18922"
"Jaú (SP)","Homens","Total","50099","14476","10080","17289","8254"
"Jaú (SP)","Mulheres","Total","55593","16059","10329","18537","10668"
"Jeriquara (SP)","Total","Total","2825","1010","508","1051","255"
"Jeriquara (SP)","Homens","Total","1429","534","276","529","89"
"Jeriquara (SP)","Mulheres","Total","1396","476","233","522","166"
"Joanópolis (SP)","Total","Total","9973","4109","1534","2856","1474"
"Joanópolis (SP)","Homens","Total","5013","2122","887","1445","558"
"Joanópolis (SP)","Mulheres","Total","4961","1987","647","1411","916"
"João Ramalho (SP)","Total","Total","3266","1177","458","1316","316"
"João Ramalho (SP)","Homens","Total","1631","584","242","682","123"
"João Ramalho (SP)","Mulheres","Total","1636","593","216","634","192"
"José Bonifácio (SP)","Total","Total","28583","9035","5772","9162","4614"
"José Bonifácio (SP)","Homens","Total","13884","4370","3301","4582","1630"
"José Bonifácio (SP)","Mulheres","Total","14700","4665","2470","4580","2984"
"Júlio Mesquita (SP)","Total","Total","3282","1256","522","1186","318"
"Júlio Mesquita (SP)","Homens","Total","1582","584","255","622","121"
"Júlio Mesquita (SP)","Mulheres","Total","1700","672","267","564","198"
"Jumirim (SP)","Total","Total","2317","802","496","759","260"
"Jumirim (SP)","Homens","Total","1151","418","256","396","81"
"Jumirim (SP)","Mulheres","Total","1166","384","240","363","179"
"Jundiaí (SP)","Total","Total","353016","68447","45746","134559","104265"
"Jundiaí (SP)","Homens","Total","167567","30078","23134","66996","47360"
"Jundiaí (SP)","Mulheres","Total","185449","38369","22612","67563","56905"
"Junqueirópolis (SP)","Total","Total","16303","5251","2638","5450","2964"
"Junqueirópolis (SP)","Homens","Total","8588","2780","1644","2960","1204"
"Junqueirópolis (SP)","Mulheres","Total","7715","2472","994","2490","1760"
"Juquiá (SP)","Total","Total","12966","4952","1744","4865","1404"
"Juquiá (SP)","Homens","Total","6346","2605","949","2312","480"
"Juquiá (SP)","Mulheres","Total","6619","2347","795","2553","925"
"Juquitiba (SP)","Total","Total","20646","7509","2687","8383","2068"
"Juquitiba (SP)","Homens","Total","10436","3890","1525","4228","793"
"Juquitiba (SP)","Mulheres","Total","10210","3619","1162","4155","1274"
"Lagoinha (SP)","Total","Total","4118","1827","529","1293","470"
"Lagoinha (SP)","Homens","Total","2092","988","343","612","149"
"Lagoinha (SP)","Mulheres","Total","2027","838","186","681","321"
"Laranjal Paulista (SP)","Total","Total","20470","6911","3559","7194","2805"
"Laranjal Paulista (SP)","Homens","Total","9928","3389","1751","3784","1005"
"Laranjal Paulista (SP)","Mulheres","Total","10542","3523","1808","3410","1800"
"Lavínia (SP)","Total","Total","8734","3547","2531","2074","581"
"Lavínia (SP)","Homens","Total","6693","2751","2289","1448","205"
"Lavínia (SP)","Mulheres","Total","2041","795","242","626","377"
"Lavrinhas (SP)","Total","Total","5247","1654","778","2307","508"
"Lavrinhas (SP)","Homens","Total","2587","828","405","1178","175"
"Lavrinhas (SP)","Mulheres","Total","2660","825","373","1129","333"
"Leme (SP)","Total","Total","75574","25195","12282","26872","11224"
"Leme (SP)","Homens","Total","36545","12420","6510","13328","4288"
"Leme (SP)","Mulheres","Total","39029","12775","5772","13545","6936"
"Lençóis Paulista (SP)","Total","Total","51475","14164","7790","20809","8712"
"Lençóis Paulista (SP)","Homens","Total","25132","6769","4041","10190","4131"
"Lençóis Paulista (SP)","Mulheres","Total","26344","7395","3749","10618","4581"
"Limeira (SP)","Total","Total","231119","56110","36496","97612","40901"
"Limeira (SP)","Homens","Total","111476","25722","18388","48763","18604"
"Limeira (SP)","Mulheres","Total","119643","30388","18109","48849","22297"
"Lindóia (SP)","Total","Total","5532","1962","735","1908","928"
"Lindóia (SP)","Homens","Total","2690","983","411","969","327"
"Lindóia (SP)","Mulheres","Total","2842","979","324","938","600"
"Lins (SP)","Total","Total","58949","12648","10337","22727","13237"
"Lins (SP)","Homens","Total","27700","5786","5357","11146","5412"
"Lins (SP)","Mulheres","Total","31249","6862","4980","11582","7825"
"Lorena (SP)","Total","Total","66010","14779","9199","28703","13329"
"Lorena (SP)","Homens","Total","31001","6676","4168","14330","5827"
"Lorena (SP)","Mulheres","Total","35009","8104","5031","14373","7502"
"Lourdes (SP)","Total","Total","1567","687","239","499","143"
"Lourdes (SP)","Homens","Total","777","346","136","241","55"
"Lourdes (SP)","Mulheres","Total","790","340","103","258","88"
"Louveira (SP)","Total","Total","39182","9109","5017","18219","6837"
"Louveira (SP)","Homens","Total","19306","4482","2758","8983","3083"
"Louveira (SP)","Mulheres","Total","19876","4627","2259","9235","3754"
"Lucélia (SP)","Total","Total","16394","5694","2621","5663","2416"
"Lucélia (SP)","Homens","Total","9212","3480","1774","2994","964"
"Lucélia (SP)","Mulheres","Total","7183","2214","847","2670","1452"
"Lucianópolis (SP)","Total","Total","1875","712","222","740","201"
"Lucianópolis (SP)","Homens","Total","940","375","136","356","73"
"Lucianópolis (SP)","Mulheres","Total","935","338","86","384","128"
"Luís Antônio (SP)","Total","Total","9203","2871","1383","3757","1192"
"Luís Antônio (SP)","Homens","Total","4557","1497","761","1832","467"
"Luís Antônio (SP)","Mulheres","Total","4646","1374","622","1926","724"
"Luiziânia (SP)","Total","Total","3564","1611","600","923","429"
"Luiziânia (SP)","Homens","Total","1737","806","333","482","116"
"Luiziânia (SP)","Mulheres","Total","1827","805","266","441","314"
"Lupércio (SP)","Total","Total","3009","1158","463","1162","226"
"Lupércio (SP)","Homens","Total","1449","605","224","555","64"
"Lupércio (SP)","Mulheres","Total","1560","553","239","607","162"
"Lutécia (SP)","Total","Total","2070","717","264","831","258"
"Lutécia (SP)","Homens","Total","1018","370","148","416","84"
"Lutécia (SP)","Mulheres","Total","1052","347","116","415","174"
"Macatuba (SP)","Total","Total","12960","4395","1887","5128","1550"
"Macatuba (SP)","Homens","Total","6343","2041","1027","2683","593"
"Macatuba (SP)","Mulheres","Total","6617","2354","860","2445","957"
"Macaubal (SP)","Total","Total","6040","2438","881","1738","984"
"Macaubal (SP)","Homens","Total","2998","1258","455","909","376"
"Macaubal (SP)","Mulheres","Total","3042","1180","425","829","608"
"Macedônia (SP)","Total","Total","3196","1332","399","1000","465"
"Macedônia (SP)","Homens","Total","1553","669","217","481","186"
"Macedônia (SP)","Mulheres","Total","1642","663","182","519","278"
"Magda (SP)","Total","Total","2569","994","374","845","356"
"Magda (SP)","Homens","Total","1264","479","206","435","143"
"Magda (SP)","Mulheres","Total","1305","515","168","409","213"
"Mairinque (SP)","Total","Total","38560","10673","5563","16859","5465"
"Mairinque (SP)","Homens","Total","19198","5236","3056","8645","2262"
"Mairinque (SP)","Mulheres","Total","19362","5438","2506","8215","3203"
"Mairiporã (SP)","Total","Total","71722","18410","9582","30386","13344"
"Mairiporã (SP)","Homens","Total","35391","9719","4858","14935","5878"
"Mairiporã (SP)","Mulheres","Total","36332","8691","4724","15451","7466"
"Manduri (SP)","Total","Total","7750","2789","1134","2896","930"
"Manduri (SP)","Homens","Total","3863","1402","635","1489","337"
"Manduri (SP)","Mulheres","Total","3886","1388","499","1407","593"
"Marabá Paulista (SP)","Total","Total","3818","1673","769","1089","286"
"Marabá Paulista (SP)","Homens","Total","2444","1122","614","633","76"
"Marabá Paulista (SP)","Mulheres","Total","1374","552","155","456","211"
"Maracaí (SP)","Total","Total","9880","2976","1455","4105","1344"
"Maracaí (SP)","Homens","Total","4838","1372","843","2143","480"
"Maracaí (SP)","Mulheres","Total","5043","1604","613","1962","864"
"Marapoama (SP)","Total","Total","2607","1027","308","973","299"
"Marapoama (SP)","Homens","Total","1303","515","190","489","109"
"Marapoama (SP)","Mulheres","Total","1304","511","119","485","190"
"Mariápolis (SP)","Total","Total","2767","971","409","1043","344"
"Mariápolis (SP)","Homens","Total","1365","473","229","538","124"
"Mariápolis (SP)","Mulheres","Total","1402","497","180","505","220"
"Marília (SP)","Total","Total","186818","39813","28089","75459","43457"
"Marília (SP)","Homens","Total","88171","18913","13713","36959","18586"
"Marília (SP)","Mulheres","Total","98647","20900","14376","38500","24870"
"Marinópolis (SP)","Total","Total","1539","605","212","568","155"
"Marinópolis (SP)","Homens","Total","769","322","109","286","52"
"Marinópolis (SP)","Mulheres","Total","770","283","102","281","104"
"Martinópolis (SP)","Total","Total","19767","6431","3279","7192","2865"
"Martinópolis (SP)","Homens","Total","10192","3402","1952","3757","1081"
"Martinópolis (SP)","Mulheres","Total","9575","3029","1328","3435","1784"
"Matão (SP)","Total","Total","63402","17357","9441","26209","10395"
"Matão (SP)","Homens","Total","30720","8245","4700","13175","4599"
"Matão (SP)","Mulheres","Total","32682","9112","4741","13034","5795"
"Mauá (SP)","Total","Total","324120","75621","49273","150716","48509"
"Mauá (SP)","Homens","Total","153281","34446","24653","73717","20465"
"Mauá (SP)","Mulheres","Total","170839","41175","24620","76999","28044"
"Mendonça (SP)","Total","Total","4833","1783","707","1741","602"
"Mendonça (SP)","Homens","Total","2423","897","405","922","198"
"Mendonça (SP)","Mulheres","Total","2411","887","302","818","404"
"Meridiano (SP)","Total","Total","3606","1342","444","1317","502"
"Meridiano (SP)","Homens","Total","1774","682","241","671","179"
"Meridiano (SP)","Mulheres","Total","1832","660","203","646","323"
"Mesópolis (SP)","Total","Total","1509","609","217","545","137"
"Mesópolis (SP)","Homens","Total","762","333","132","255","42"
"Mesópolis (SP)","Mulheres","Total","747","276","85","290","95"
"Miguelópolis (SP)","Total","Total","14927","5657","2557","4845","1868"
"Miguelópolis (SP)","Homens","Total","7141","2832","1318","2321","671"
"Miguelópolis (SP)","Mulheres","Total","7786","2825","1240","2524","1198"
"Mineiros do Tietê (SP)","Total","Total","8807","3405","1582","2891","928"
"Mineiros do Tietê (SP)","Homens","Total","4309","1588","808","1559","353"
"Mineiros do Tietê (SP)","Mulheres","Total","4498","1817","774","1332","575"
"Miracatu (SP)","Total","Total","13852","5774","2141","4542","1394"
"Miracatu (SP)","Homens","Total","6889","3103","1177","2123","486"
"Miracatu (SP)","Mulheres","Total","6963","2671","965","2419","908"
"Mira Estrela (SP)","Total","Total","2526","1001","384","811","330"
"Mira Estrela (SP)","Homens","Total","1240","521","185","417","115"
"Mira Estrela (SP)","Mulheres","Total","1287","480","199","393","214"
"Mirandópolis (SP)","Total","Total","23281","8125","3942","8080","3134"
"Mirandópolis (SP)","Homens","Total","13469","5034","2653","4590","1191"
"Mirandópolis (SP)","Mulheres","Total","9813","3090","1289","3490","1943"
"Mirante do Paranapanema (SP)","Total","Total","12387","4411","1584","4741","1650"
"Mirante do Paranapanema (SP)","Homens","Total","6126","2291","850","2397","587"
"Mirante do Paranapanema (SP)","Mulheres","Total","6261","2119","734","2344","1063"
"Mirassol (SP)","Total","Total","49742","12710","7358","19111","10563"
"Mirassol (SP)","Homens","Total","23965","6092","3917","9619","4337"
"Mirassol (SP)","Mulheres","Total","25777","6618","3441","9492","6226"
"Mirassolândia (SP)","Total","Total","3642","1488","703","1102","348"
"Mirassolândia (SP)","Homens","Total","1832","802","372","543","115"
"Mirassolândia (SP)","Mulheres","Total","1809","686","331","559","233"
"Mococa (SP)","Total","Total","53592","16107","7974","21055","8456"
"Mococa (SP)","Homens","Total","26080","7724","3997","10900","3459"
"Mococa (SP)","Mulheres","Total","27512","8383","3977","10155","4998"
"Mogi das Cruzes (SP)","Total","Total","344422","72768","44460","148713","78480"
"Mogi das Cruzes (SP)","Homens","Total","162841","33655","22211","72941","34034"
"Mogi das Cruzes (SP)","Mulheres","Total","181581","39112","22250","75773","44446"
"Mogi Guaçu (SP)","Total","Total","120690","31174","19199","50038","20279"
"Mogi Guaçu (SP)","Homens","Total","57905","14245","9464","25207","8989"
"Mogi Guaçu (SP)","Mulheres","Total","62785","16929","9735","24830","11290"
"Mogi Mirim (SP)","Total","Total","73460","19067","11131","26937","16324"
"Mogi Mirim (SP)","Homens","Total","35277","8763","5800","13581","7133"
"Mogi Mirim (SP)","Mulheres","Total","38183","10304","5331","13356","9192"
"Mombuca (SP)","Total","Total","2732","969","528","1066","169"
"Mombuca (SP)","Homens","Total","1341","452","292","537","59"
"Mombuca (SP)","Mulheres","Total","1391","517","236","529","110"
"Monções (SP)","Total","Total","1554","630","162","562","199"
"Monções (SP)","Homens","Total","762","312","78","305","67"
"Monções (SP)","Mulheres","Total","791","318","84","257","133"
"Mongaguá (SP)","Total","Total","48028","13627","10367","18628","5406"
"Mongaguá (SP)","Homens","Total","24404","7315","5660","9141","2288"
"Mongaguá (SP)","Mulheres","Total","23623","6312","4707","9487","3118"
"Monte Alegre do Sul (SP)","Total","Total","7008","2241","928","2779","1060"
"Monte Alegre do Sul (SP)","Homens","Total","3434","1172","473","1340","450"
"Monte Alegre do Sul (SP)","Mulheres","Total","3574","1069","455","1439","610"
"Monte Alto (SP)","Total","Total","38503","11359","6203","14256","6685"
"Monte Alto (SP)","Homens","Total","18498","5225","3228","7078","2969"
"Monte Alto (SP)","Mulheres","Total","20004","6135","2975","7178","3716"
"Monte Aprazível (SP)","Total","Total","17737","5663","2417","6530","3128"
"Monte Aprazível (SP)","Homens","Total","8502","2806","1306","3079","1310"
"Monte Aprazível (SP)","Mulheres","Total","9236","2858","1110","3451","1817"
"Monte Azul Paulista (SP)","Total","Total","14566","5224","2395","4809","2137"
"Monte Azul Paulista (SP)","Homens","Total","7176","2583","1261","2432","900"
"Monte Azul Paulista (SP)","Mulheres","Total","7389","2641","1134","2377","1237"
"Monte Castelo (SP)","Total","Total","3316","1317","403","1228","368"
"Monte Castelo (SP)","Homens","Total","1609","656","231","603","119"
"Monte Castelo (SP)","Mulheres","Total","1708","661","172","625","249"
"Monteiro Lobato (SP)","Total","Total","3161","1086","495","990","590"
"Monteiro Lobato (SP)","Homens","Total","1584","604","264","501","215"
"Monteiro Lobato (SP)","Mulheres","Total","1576","482","231","490","374"
"Monte Mor (SP)","Total","Total","48505","13730","8002","21583","5190"
"Monte Mor (SP)","Homens","Total","23789","6729","4390","10759","1911"
"Monte Mor (SP)","Mulheres","Total","24716","7001","3613","10823","3279"
"Morro Agudo (SP)","Total","Total","21328","8150","3746","6604","2828"
"Morro Agudo (SP)","Homens","Total","10349","4096","1858","3218","1177"
"Morro Agudo (SP)","Mulheres","Total","10979","4054","1888","3386","1651"
"Morungaba (SP)","Total","Total","10563","3293","2073","3854","1343"
