"Tabela 10061 - Pessoas de 18 anos ou mais de idade, por nível de instrução, segundo os grupos de idade, o sexo e a cor ou raça"
"Variável - Pessoas de 18 anos ou mais de idade (Pessoas)"
"Município","Sexo","Cor ou raça","Ano x Nível de instrução x Grupo de idade"
"Município","Sexo","Cor ou raça","2022"
"Município","Sexo","Cor ou raça","Total","Sem instrução e fundamental incompleto","Fundamental completo e médio incompleto","Médio completo e superior incompleto","Superior completo"
"Município","Sexo","Cor ou raça","Total","Total","Total","Total","Total"
"Apiaí (SP)","Total","Total","18405","6898","2688","6817","2002"
"Apiaí (SP)","Homens","Total","9053","3579","1419","3412","642"
"Apiaí (SP)","Mulheres","Total","9352","3318","1269","3404","1360"
"Araçariguama (SP)","Total","Total","15784","5264","3839","5040","1640"
"Araçariguama (SP)","Homens","Total","7881","2813","1878","2478","712"
"Araçariguama (SP)","Mulheres","Total","7903","2451","1962","2562","928"
"Araçatuba (SP)","Total","Total","159338","37017","23453","64082","34785"
"Araçatuba (SP)","Homens","Total","74396","17207","11840","30350","15000"
"Araçatuba (SP)","Mulheres","Total","84941","19810","11613","33733","19785"
"Araçoiaba da Serra (SP)","Total","Total","25919","6493","4115","10463","4848"
"Araçoiaba da Serra (SP)","Homens","Total","12864","3279","2177","5204","2204"
"Araçoiaba da Serra (SP)","Mulheres","Total","13055","3214","1938","5259","2644"
"Aramina (SP)","Total","Total","4267","1610","672","1454","532"
"Aramina (SP)","Homens","Total","2045","840","355","692","156"
"Aramina (SP)","Mulheres","Total","2223","770","316","762","375"
"Arandu (SP)","Total","Total","5269","2103","848","1952","366"
"Arandu (SP)","Homens","Total","2615","1069","458","938","151"
"Arandu (SP)","Mulheres","Total","2654","1035","390","1014","215"
"Arapeí (SP)","Total","Total","1823","762","272","640","150"
"Arapeí (SP)","Homens","Total","892","390","140","314","49"
"Arapeí (SP)","Mulheres","Total","930","371","132","326","101"
"Araraquara (SP)","Total","Total","192752","39657","28256","79405","45434"
"Araraquara (SP)","Homens","Total","90752","17938","14239","38120","20455"
"Araraquara (SP)","Mulheres","Total","102000","21719","14016","41285","24980"
"Araras (SP)","Total","Total","103648","26367","15535","40627","21119"
"Araras (SP)","Homens","Total","49487","12296","7818","20136","9237"
"Araras (SP)","Mulheres","Total","54161","14071","7717","20491","11882"
"Arco-Íris (SP)","Total","Total","1560","636","201","559","164"
"Arco-Íris (SP)","Homens","Total","767","330","119","263","56"
"Arco-Íris (SP)","Mulheres","Total","793","307","82","296","108"
"Arealva (SP)","Total","Total","6586","2642","1060","1951","933"
"Arealva (SP)","Homens","Total","3265","1321","577","1032","335"
"Arealva (SP)","Mulheres","Total","3321","1321","483","919","598"
"Areias (SP)","Total","Total","2735","1026","435","1006","267"
"Areias (SP)","Homens","Total","1351","507","235","506","103"
"Areias (SP)","Mulheres","Total","1384","519","200","500","164"
"Areiópolis (SP)","Total","Total","7642","2899","1276","2863","603"
"Areiópolis (SP)","Homens","Total","3848","1460","724","1416","248"
"Areiópolis (SP)","Mulheres","Total","3794","1439","552","1447","356"
"Ariranha (SP)","Total","Total","6092","2380","702","2197","813"
"Ariranha (SP)","Homens","Total","3001","1131","334","1232","304"
"Ariranha (SP)","Mulheres","Total","3092","1249","369","966","509"
"Artur Nogueira (SP)","Total","Total","39402","13152","7196","13731","5324"
"Artur Nogueira (SP)","Homens","Total","19331","6728","3599","6739","2265"
"Artur Nogueira (SP)","Mulheres","Total","20071","6424","3597","6992","3058"
"Arujá (SP)","Total","Total","65679","14358","9464","29524","12332"
"Arujá (SP)","Homens","Total","31387","6792","4817","14353","5425"
"Arujá (SP)","Mulheres","Total","34291","7567","4647","15171","6906"
"Aspásia (SP)","Total","Total","1468","660","167","422","219"
"Aspásia (SP)","Homens","Total","720","341","71","234","74"
"Aspásia (SP)","Mulheres","Total","747","318","96","188","145"
"Assis (SP)","Total","Total","80187","17509","10604","32282","19792"
"Assis (SP)","Homens","Total","37843","8257","5724","15434","8428"
"Assis (SP)","Mulheres","Total","42344","9252","4880","16848","11364"
"Atibaia (SP)","Total","Total","123699","31571","17689","44904","29535"
"Atibaia (SP)","Homens","Total","59212","16071","8881","21309","12951"
"Atibaia (SP)","Mulheres","Total","64487","15500","8808","23595","16584"
"Auriflama (SP)","Total","Total","10951","3610","1577","4124","1641"
"Auriflama (SP)","Homens","Total","5350","1808","780","2100","661"
"Auriflama (SP)","Mulheres","Total","5602","1801","796","2025","979"
"Avaí (SP)","Total","Total","3431","1300","561","1226","344"
"Avaí (SP)","Homens","Total","1723","678","275","657","112"
"Avaí (SP)","Mulheres","Total","1707","621","286","568","232"
"Avanhandava (SP)","Total","Total","8827","3334","1493","2961","1038"
"Avanhandava (SP)","Homens","Total","4929","1929","961","1628","411"
"Avanhandava (SP)","Mulheres","Total","3897","1405","533","1333","627"
"Avaré (SP)","Total","Total","71527","19861","11814","26885","12967"
"Avaré (SP)","Homens","Total","35083","10100","6360","13351","5272"
"Avaré (SP)","Mulheres","Total","36444","9761","5454","13534","7695"
"Bady Bassitt (SP)","Total","Total","20974","5059","3287","9074","3554"
"Bady Bassitt (SP)","Homens","Total","10123","2541","1761","4373","1448"
"Bady Bassitt (SP)","Mulheres","Total","10851","2518","1526","4701","2106"
"Balbinos (SP)","Total","Total","3596","1895","831","724","147"
"Balbinos (SP)","Homens","Total","3041","1701","793","501","47"
"Balbinos (SP)","Mulheres","Total","555","194","38","223","100"
"Bálsamo (SP)","Total","Total","7681","2652","1189","2664","1176"
"Bálsamo (SP)","Homens","Total","3701","1278","684","1316","423"
"Bálsamo (SP)","Mulheres","Total","3979","1374","505","1348","753"
"Bananal (SP)","Total","Total","7795","3052","1053","2693","996"
"Bananal (SP)","Homens","Total","3688","1491","489","1328","380"
"Bananal (SP)","Mulheres","Total","4106","1561","565","1365","615"
"Barão de Antonina (SP)","Total","Total","2678","1128","555","897","98"
"Barão de Antonina (SP)","Homens","Total","1337","559","296","458","25"
"Barão de Antonina (SP)","Mulheres","Total","1341","569","259","439","73"
"Barbosa (SP)","Total","Total","4306","1895","780","1291","340"
"Barbosa (SP)","Homens","Total","2058","934","390","631","104"
"Barbosa (SP)","Mulheres","Total","2248","961","390","660","236"
"Bariri (SP)","Total","Total","24773","8173","3955","8288","4358"
