Cod_mun;municipios;PIB;Ano
3510807;Casa Branca;R$ 1.494.279.305,;2023
3510906;Cássia dos Coqueiros;R$ 306.056.167,;2023
3511003;Castilho;R$ 2.275.540.623,;2023
3511102;Catanduva;R$ 7.029.953.383,;2023
3511201;Catiguá;R$ 196.946.443,;2023
3511300;Cedral;R$ 808.869.528,;2023
3511409;Cerqueira César;R$ 1.400.618.178,;2023
3511508;Cerquilho;R$ 2.891.327.658,;2023
3511607;Cesário Lange;R$ 1.215.884.112,;2023
3511706;Charqueada;R$ 790.607.333,;2023
3557204;Chavantes;R$ 477.220.027,;2023
3511904;Clementina;R$ 254.107.308,;2023
3512001;Colina;R$ 2.052.576.439,;2023
3512100;Colômbia;R$ 743.433.098,;2023
3512209;Conchal;R$ 1.093.663.839,;2023
3512308;Conchas;R$ 551.103.139,;2023
3512407;Cordeirópolis;R$ 4.167.915.366,;2023
3512506;Coroados;R$ 335.404.552,;2023
3512605;Coronel Macedo;R$ 165.849.194,;2023
3512704;Corumbataí;R$ 354.603.601,;2023
3512803;Cosmópolis;R$ 2.313.364.052,;2023
3512902;Cosmorama;R$ 878.427.208,;2023
3513009;Cotia;R$ 19.060.773.462,;2023
3513108;Cravinhos;R$ 2.357.353.267,;2023
3513207;Cristais Paulista;R$ 449.171.364,;2023
3513306;Cruzália;R$ 218.198.594,;2023
3513405;Cruzeiro;R$ 4.281.961.617,;2023
3513504;Cubatão;R$ 27.813.387.639,;2023
3513603;Cunha;R$ 432.940.522,;2023
3513702;Descalvado;R$ 2.584.483.423,;2023
3513801;Diadema;R$ 21.229.085.409,;2023
3513850;Dirce Reis;R$ 99.485.465,;2023
3513900;Divinolândia;R$ 528.584.116,;2023
3514007;Dobrada;R$ 213.754.857,;2023
3514106;Dois Córregos;R$ 1.187.096.718,;2023
3514205;Dolcinópolis;R$ 84.390.137,;2023
3514304;Dourado;R$ 1.178.139.786,;2023
3514403;Dracena;R$ 1.855.223.877,;2023
3514502;Duartina;R$ 435.779.649,;2023
3514601;Dumont;R$ 414.001.737,;2023
3514700;Echaporã;R$ 187.402.902,;2023
3514809;Eldorado;R$ 423.995.268,;2023
3514908;Elias Fausto;R$ 2.159.508.523,;2023
