id_municipio,municipio,populacao_2022,pib_2022,pib_per_capita_2022,taxa_alfabetizacao,anos_medios_estudo,pct_ensino_medio,pct_ensino_superior
3500105,Adamantina,34687,1542108768.0,44457.8305417015,0.9649206295251368,10.5,0.6049883581457701,0.2198193748677062
3500204,Adolfo,4351,152744965.0,35105.71477821191,0.9322128851540616,8.4,0.4148213758488338,0.10481251845290818
3500303,Aguaí,32072,1538788797.0,47979.1967136443,0.9503414747077208,9.0,0.43234215885947047,0.12228105906313645
3500402,Águas da Prata,7369,237447327.0,32222.462613651784,0.9684938112843594,9.4,0.4961318533467878,0.16010763538513287
3500501,Águas de Lindóia,17930,709589578.0,39575.54813162298,0.9641137278184577,9.5,0.5095159288374017,0.16039167011446698
3500550,Águas de Santa Bárbara,7177,254816779.0,35504.63689563885,0.9563580352558617,10.1,0.5638259618842143,0.19884933477166486
3500600,Águas de São Pedro,2780,160664986.0,57793.16043165467,0.9875724937862469,11.4,0.720531504500643,0.39777111015859407
3500709,Agudos,37680,2685446015.0,71269.79869957537,0.9618651069032749,10.0,0.5747314827730506,0.15772771655739992
3500758,Alambari,6141,133707111.0,21772.856375183193,0.9540650406504065,9.1,0.45671641791044776,0.0906183368869936
3500808,Alfredo Marcondes,4445,129964952.0,29238.45939257593,0.9463560010837172,9.5,0.5507328072153326,0.12993235625704622
3500907,Altair,3451,126933661.0,36781.704143726456,0.9255014326647565,8.5,0.4339834958739685,0.09789947486871718
3501004,Altinópolis,16818,646572298.0,38445.25496491854,0.949872495446266,9.1,0.478979436405179,0.15125666412795125
3501103,Alto Alegre,3841,113062323.0,29435.647747982297,0.942690775360098,8.6,0.40645773979107314,0.10699588477366255
3501152,Alumínio,17301,3594285557.0,207750.16224495694,0.9620426390089312,10.1,0.6068083161983093,0.12261061609930698
3501202,Álvares Florence,3915,135133659.0,34516.89885057471,0.9350882440921329,8.5,0.4049483244597557,0.10679611650485436
3501301,Álvares Machado,27255,820450639.0,30102.756888644286,0.9577407373856327,9.8,0.5264514896867838,0.1546027501909855
3501400,Álvaro de Carvalho,4808,59626427.0,12401.503119800333,0.9329035339063992,7.3,0.3318605792832597,0.04393716249386352
3501509,Alvinlândia,2885,64404105.0,22323.779896013864,0.9270699270699271,8.5,0.4554140127388535,0.12374886260236578
3501608,Americana,237240,16677590536.0,70298.39207553532,0.9833213276444839,10.9,0.6562808839918414,0.2431082700759089
3501707,Américo Brasiliense,33019,1376814274.0,41697.6369363094,0.9449740196628164,8.8,0.49202169470209084,0.05671278100927527
3501806,Américo de Campos,5870,141692241.0,24138.371550255535,0.9545270816491511,9.1,0.4638958858102435,0.12027707808564232
3501905,Amparo,68008,6156333064.0,90523.65992236207,0.9677560523045146,10.3,0.600353860874903,0.19229449890772535
3502002,Analândia,4589,210931789.0,45964.652211810855,0.9554535637149028,9.9,0.584,0.17657142857142857
