id_municipio,municipio,populacao_media_2022_2025,municipio_chave
3511102,Catanduva,117507.25,CATANDUVA
3511201,Catiguá,7053.0,CATIGUA
3511300,Cedral,12927.5,CEDRAL
3511409,Cerqueira César,21806.0,CERQUEIRA CESAR
3511508,Cerquilho,45499.5,CERQUILHO
3511607,Cesário Lange,19347.75,CESARIO LANGE
3511706,Charqueada,15670.5,CHARQUEADA
3511904,Clementina,7033.75,CLEMENTINA
3512001,Colina,18673.5,COLINA
3512100,Colômbia,6710.25,COLOMBIA
3512209,Conchal,28592.0,CONCHAL
3512308,Conchas,15297.5,CONCHAS
3512407,Cordeirópolis,24861.0,CORDEIROPOLIS
3512506,Coroados,5450.5,COROADOS
3512605,Coronel Macedo,4281.5,CORONEL MACEDO
3512704,Corumbataí,4242.75,CORUMBATAI
3512803,Cosmópolis,60479.25,COSMOPOLIS
3512902,Cosmorama,8856.25,COSMORAMA
3513009,Cotia,281330.75,COTIA
3513108,Cravinhos,33780.25,CRAVINHOS
3513207,Cristais Paulista,9421.75,CRISTAIS PAULISTA
3513306,Cruzália,2117.0,CRUZALIA
3513405,Cruzeiro,75719.75,CRUZEIRO
3513504,Cubatão,113726.0,CUBATAO
3513603,Cunha,22284.0,CUNHA
3513702,Descalvado,32199.25,DESCALVADO
3513801,Diadema,398542.75,DIADEMA
3513850,Dirce Reis,1630.0,DIRCE REIS
3513900,Divinolândia,11233.75,DIVINOLANDIA
3514007,Dobrada,8865.5,DOBRADA
3514106,Dois Córregos,24680.5,DOIS CORREGOS
3514205,Dolcinópolis,2229.5,DOLCINOPOLIS
3514304,Dourado,8136.75,DOURADO
3514403,Dracena,46086.75,DRACENA
3514502,Duartina,12429.25,DUARTINA
3514601,Dumont,9606.25,DUMONT
3514700,Echaporã,6249.0,ECHAPORA
3514809,Eldorado,13102.25,ELDORADO
3514908,Elias Fausto,17917.25,ELIAS FAUSTO
3514924,Elisiário,3163.75,ELISIARIO
3514957,Embaúba,2337.0,EMBAUBA
3515004,Embu das Artes,255123.25,EMBU DAS ARTES
3515103,Embu-Guaçu,67914.5,EMBU GUACU
3515129,Emilianópolis,3037.75,EMILIANOPOLIS
3515152,Engenheiro Coelho,19883.0,ENGENHEIRO COELHO
3515186,Espírito Santo do Pinhal,40230.75,ESPIRITO SANTO DO PINHAL
3515194,Espírito Santo do Turvo,4186.25,ESPIRITO SANTO DO TURVO
3515202,Estrela d'Oeste,9546.25,ESTRELA DOESTE
3515301,Estrela do Norte,2726.5,ESTRELA DO NORTE
3515350,Euclides da Cunha Paulista,7914.75,EUCLIDES DA CUNHA PAULISTA
3515400,Fartura,16823.75,FARTURA
3515509,Fernandópolis,72291.5,FERNANDOPOLIS
3515608,Fernando Prestes,6007.5,FERNANDO PRESTES
3515657,Fernão,1673.25,FERNAO
3515707,Ferraz de Vasconcelos,182624.25,FERRAZ DE VASCONCELOS
3515806,Flora Rica,1487.25,FLORA RICA
3515905,Floreal,2742.25,FLOREAL
3516002,Flórida Paulista,13065.5,FLORIDA PAULISTA
3516101,Florínia,3927.75,FLORINIA
3516200,Franca,358724.25,FRANCA
3516309,Francisco Morato,168215.25,FRANCISCO MORATO
3516408,Franco da Rocha,147431.25,FRANCO DA ROCHA
3516507,Gabriel Monteiro,2787.5,GABRIEL MONTEIRO
3516606,Gália,6402.0,GALIA
3516705,Garça,42604.0,GARCA
3516804,Gastão Vidigal,3235.5,GASTAO VIDIGAL
3516853,Gavião Peixoto,4751.75,GAVIAO PEIXOTO
3516903,General Salgado,10377.5,GENERAL SALGADO
3517000,Getulina,10289.0,GETULINA
3517109,Glicério,4151.75,GLICERIO
3517208,Guaiçara,11353.75,GUAICARA
3517307,Guaimbê,5559.75,GUAIMBE
3517406,Guaíra,39867.75,GUAIRA
3517505,Guapiaçu,22045.75,GUAPIACU
3517604,Guapiara,17155.75,GUAPIARA
3517703,Guará,18687.5,GUARA
3517802,Guaraçaí,7455.25,GUARACAI
3517901,Guaraci,10449.0,GUARACI
3518008,Guarani d'Oeste,1983.5,GUARANI DOESTE
3518107,Guarantã,6479.25,GUARANTA
3518206,Guararapes,31461.5,GUARARAPES
3518305,Guararema,31882.0,GUARAREMA
3518404,Guaratinguetá,119928.5,GUARATINGUETA
3518503,Guareí,15144.75,GUAREI
3518602,Guariba,38070.75,GUARIBA
3518701,Guarujá,291278.0,GUARUJA
3518800,Guarulhos,1319501.5,GUARULHOS
3518859,Guatapará,7394.0,GUATAPARA
3518909,Guzolândia,4256.75,GUZOLANDIA
3519006,Herculândia,9217.0,HERCULANDIA
3519055,Holambra,15375.5,HOLAMBRA
3519071,Hortolândia,242363.75,HORTOLANDIA
3519105,Iacanga,10538.75,IACANGA
3519204,Iacri,6166.5,IACRI
3519253,Iaras,8147.5,IARAS
3519303,Ibaté,32656.5,IBATE
3519402,Ibirá,11816.5,IBIRA
3519501,Ibirarema,6420.25,IBIRAREMA
3519600,Ibitinga,61029.25,IBITINGA
3519709,Ibiúna,76665.5,IBIUNA
3519808,Icém,7897.25,ICEM
3519907,Iepê,7679.0,IEPE
3520004,Igaraçu do Tietê,23265.75,IGARACU DO TIETE
3520103,Igarapava,26468.75,IGARAPAVA
3520202,Igaratá,10774.5,IGARATA
3520301,Iguape,29500.5,IGUAPE
3520400,Ilhabela,35689.0,ILHABELA
3520426,Ilha Comprida,13724.25,ILHA COMPRIDA
3520442,Ilha Solteira,25898.75,ILHA SOLTEIRA
3520509,Indaiatuba,262237.25,INDAIATUBA
3520608,Indiana,5142.75,INDIANA
3520707,Indiaporã,4073.0,INDIAPORA
3520806,Inúbia Paulista,3643.0,INUBIA PAULISTA
3520905,Ipaussu,13823.0,IPAUSSU
3521002,Iperó,37298.5,IPERO
3521101,Ipeúna,6922.0,IPEUNA
3521150,Ipiguá,6918.5,IPIGUA
