id_municipio,municipio,ano,n_consumado,n_total,n_tentativa,taxa_feminicidio_consumado_100k,taxa_feminicidio_total_100k,populacao,pib_per_capita_2022,taxa_alfabetizacao,anos_medios_estudo,pct_ensino_medio,pct_ensino_superior,taxa_urbanizacao_pct,taxa_saneamento_basico_pct,taxa_trafico_drogas_100k
3500105,Adamantina,2022,0,1,1,0.0,2.8829244385504658,34687,44457.8305417015,0.9649206295251368,10.5,0.6049883581457701,0.2198193748677062,96.9226238681,97.0183317382,95.13650647216537
3500105,Adamantina,2023,0,0,0,0.0,0.0,34687,44457.8305417015,0.9649206295251368,10.5,0.6049883581457701,0.2198193748677062,96.9226238681,97.0183317382,54.77556433245885
3500105,Adamantina,2024,0,0,0,0.0,0.0,35642,44457.8305417015,0.9649206295251368,10.5,0.6049883581457701,0.2198193748677062,96.9226238681,97.0183317382,112.22714774704001
3500105,Adamantina,2025,0,0,0,0.0,0.0,35673,44457.8305417015,0.9649206295251368,10.5,0.6049883581457701,0.2198193748677062,96.9226238681,97.0183317382,81.2939758360665
3500204,Adolfo,2022,0,0,0,0.0,0.0,4351,35105.71477821191,0.9322128851540616,8.4,0.4148213758488338,0.1048125184529081,92.6666666667,88.4242424242,298.7818892208688
3500204,Adolfo,2023,0,0,0,0.0,0.0,4351,35105.71477821191,0.9322128851540616,8.4,0.4148213758488338,0.1048125184529081,92.6666666667,88.4242424242,183.86577798207307
3500204,Adolfo,2024,0,0,0,0.0,0.0,4478,35105.71477821191,0.9322128851540616,8.4,0.4148213758488338,0.1048125184529081,92.6666666667,88.4242424242,89.32559178204555
3500204,Adolfo,2025,0,0,0,0.0,0.0,4505,35105.71477821191,0.9322128851540616,8.4,0.4148213758488338,0.1048125184529081,92.6666666667,88.4242424242,88.79023307436182
3500303,Aguaí,2022,0,1,1,0.0,3.117984534796708,32072,47979.1967136443,0.9503414747077208,9.0,0.4323421588594704,0.1222810590631364,93.6149825784,93.362369338,71.71364430032426
3500303,Aguaí,2023,0,0,0,0.0,0.0,32072,47979.1967136443,0.9503414747077208,9.0,0.4323421588594704,0.1222810590631364,93.6149825784,93.362369338,31.179845347967078
3500303,Aguaí,2024,1,3,2,3.0406227195329603,9.12186815859888,32888,47979.1967136443,0.9503414747077208,9.0,0.4323421588594704,0.1222810590631364,93.6149825784,93.362369338,118.58428606178546
3500303,Aguaí,2025,0,1,1,0.0,3.040807638508788,32886,47979.1967136443,0.9503414747077208,9.0,0.4323421588594704,0.1222810590631364,93.6149825784,93.362369338,191.57088122605364
3500402,Águas da Prata,2022,0,0,0,0.0,0.0,7369,32222.462613651784,0.9684938112843594,9.4,0.4961318533467878,0.1601076353851328,87.8445229682,89.8586572438,27.14072465734835
3500402,Águas da Prata,2023,0,0,0,0.0,0.0,7369,32222.462613651784,0.9684938112843594,9.4,0.4961318533467878,0.1601076353851328,87.8445229682,89.8586572438,108.5628986293934
3500402,Águas da Prata,2024,0,0,0,0.0,0.0,7470,32222.462613651784,0.9684938112843594,9.4,0.4961318533467878,0.1601076353851328,87.8445229682,89.8586572438,80.32128514056225
3500402,Águas da Prata,2025,0,0,0,0.0,0.0,7463,32222.462613651784,0.9684938112843594,9.4,0.4961318533467878,0.1601076353851328,87.8445229682,89.8586572438,53.59774889454643
3500501,Águas de Lindóia,2022,0,0,0,0.0,0.0,17930,39575.54813162298,0.9641137278184576,9.5,0.5095159288374017,0.1603916701144669,87.7776143551,94.1020738344,128.276631344116
3500501,Águas de Lindóia,2023,0,0,0,0.0,0.0,17930,39575.54813162298,0.9641137278184576,9.5,0.5095159288374017,0.1603916701144669,87.7776143551,94.1020738344,211.93530395984382
3500501,Águas de Lindóia,2024,0,0,0,0.0,0.0,18245,39575.54813162298,0.9641137278184576,9.5,0.5095159288374017,0.1603916701144669,87.7776143551,94.1020738344,76.73335160317895
3500501,Águas de Lindóia,2025,0,0,0,0.0,0.0,18257,39575.54813162298,0.9641137278184576,9.5,0.5095159288374017,0.1603916701144669,87.7776143551,94.1020738344,158.8431834364901
3500550,Águas de Santa Bárbara,2022,0,0,0,0.0,0.0,7177,35504.63689563885,0.9563580352558616,10.1,0.5638259618842143,0.1988493347716648,88.3763837638,87.3800738007,69.66699177929497
3500550,Águas de Santa Bárbara,2023,0,0,0,0.0,0.0,7177,35504.63689563885,0.9563580352558616,10.1,0.5638259618842143,0.1988493347716648,88.3763837638,87.3800738007,27.86679671171799
3500550,Águas de Santa Bárbara,2024,0,0,0,0.0,0.0,7407,35504.63689563885,0.9563580352558616,10.1,0.5638259618842143,0.1988493347716648,88.3763837638,87.3800738007,81.00445524503849
3500550,Águas de Santa Bárbara,2025,0,0,0,0.0,0.0,7460,35504.63689563885,0.9563580352558616,10.1,0.5638259618842143,0.1988493347716648,88.3763837638,87.3800738007,13.404825737265417
3500600,Águas de São Pedro,2022,0,0,0,0.0,0.0,2780,57793.16043165467,0.9875724937862468,11.4,0.720531504500643,0.397771110158594,100.0,100.0,71.94244604316548
3500600,Águas de São Pedro,2023,0,0,0,0.0,0.0,2780,57793.16043165467,0.9875724937862468,11.4,0.720531504500643,0.397771110158594,100.0,100.0,0.0
3500600,Águas de São Pedro,2024,0,0,0,0.0,0.0,2829,57793.16043165467,0.9875724937862468,11.4,0.720531504500643,0.397771110158594,100.0,100.0,0.0
3500600,Águas de São Pedro,2025,0,0,0,0.0,0.0,2928,57793.16043165467,0.9875724937862468,11.4,0.720531504500643,0.397771110158594,100.0,100.0,68.30601092896175
3500709,Agudos,2022,0,0,0,0.0,0.0,37680,71269.79869957537,0.9618651069032748,10.0,0.5747314827730506,0.1577277165573999,95.9879406308,95.0989486704,84.92569002123143
3500709,Agudos,2023,1,1,0,2.6539278131634823,2.6539278131634823,37680,71269.79869957537,0.9618651069032748,10.0,0.5747314827730506,0.1577277165573999,95.9879406308,95.0989486704,79.61783439490446
3500709,Agudos,2024,0,0,0,0.0,0.0,38879,71269.79869957537,0.9618651069032748,10.0,0.5747314827730506,0.1577277165573999,95.9879406308,95.0989486704,154.3249569176162
3500709,Agudos,2025,0,0,0,0.0,0.0,38988,71269.79869957537,0.9618651069032748,10.0,0.5747314827730506,0.1577277165573999,95.9879406308,95.0989486704,182.10731507130401
3500758,Alambari,2022,0,0,0,0.0,0.0,6141,21772.8563751832,0.9540650406504064,9.1,0.4567164179104477,0.0906183368869936,73.5390369331,81.7204301075,48.85197850512946
3500758,Alambari,2023,0,0,0,0.0,0.0,6141,21772.8563751832,0.9540650406504064,9.1,0.4567164179104477,0.0906183368869936,73.5390369331,81.7204301075,32.56798567008631
3500758,Alambari,2024,0,0,0,0.0,0.0,6330,21772.8563751832,0.9540650406504064,9.1,0.4567164179104477,0.0906183368869936,73.5390369331,81.7204301075,15.79778830963665
3500758,Alambari,2025,0,0,0,0.0,0.0,6373,21772.8563751832,0.9540650406504064,9.1,0.4567164179104477,0.0906183368869936,73.5390369331,81.7204301075,15.691197238349288
3500808,Alfredo Marcondes,2022,0,0,0,0.0,0.0,4445,29238.45939257593,0.9463560010837172,9.5,0.5507328072153326,0.1299323562570462,84.7045191194,88.0069524913,89.98875140607424
3500808,Alfredo Marcondes,2023,0,0,0,0.0,0.0,4445,29238.45939257593,0.9463560010837172,9.5,0.5507328072153326,0.1299323562570462,84.7045191194,88.0069524913,44.99437570303712
3500808,Alfredo Marcondes,2024,0,0,0,0.0,0.0,4556,29238.45939257593,0.9463560010837172,9.5,0.5507328072153326,0.1299323562570462,84.7045191194,88.0069524913,43.89815627743635
3500808,Alfredo Marcondes,2025,0,0,0,0.0,0.0,4574,29238.45939257593,0.9463560010837172,9.5,0.5507328072153326,0.1299323562570462,84.7045191194,88.0069524913,153.0389156099694
3500907,Altair,2022,0,0,0,0.0,0.0,3451,36781.704143726456,0.9255014326647564,8.5,0.4339834958739685,0.0978994748687171,87.323943662,83.9593114241,173.86264850767893
3500907,Altair,2023,0,0,0,0.0,0.0,3451,36781.704143726456,0.9255014326647564,8.5,0.4339834958739685,0.0978994748687171,87.323943662,83.9593114241,57.954216169226314
3500907,Altair,2024,0,0,0,0.0,0.0,3479,36781.704143726456,0.9255014326647564,8.5,0.4339834958739685,0.0978994748687171,87.323943662,83.9593114241,114.97556769186548
3500907,Altair,2025,0,0,0,0.0,0.0,3467,36781.704143726456,0.9255014326647564,8.5,0.4339834958739685,0.0978994748687171,87.323943662,83.9593114241,28.843380444188057
3501004,Altinópolis,2022,0,0,0,0.0,0.0,16818,38445.25496491854,0.949872495446266,9.1,0.478979436405179,0.1512566641279512,91.0332346167,91.2635735439,65.4061124985135
3501004,Altinópolis,2023,0,0,0,0.0,0.0,16818,38445.25496491854,0.949872495446266,9.1,0.478979436405179,0.1512566641279512,91.0332346167,91.2635735439,148.65025567843978
3501004,Altinópolis,2024,0,0,0,0.0,0.0,17156,38445.25496491854,0.949872495446266,9.1,0.478979436405179,0.1512566641279512,91.0332346167,91.2635735439,186.52366519002098
3501004,Altinópolis,2025,0,0,0,0.0,0.0,17197,38445.25496491854,0.949872495446266,9.1,0.478979436405179,0.1512566641279512,91.0332346167,91.2635735439,180.26399953480256
3501103,Alto Alegre,2022,0,0,0,0.0,0.0,3841,29435.647747982297,0.942690775360098,8.6,0.4064577397910731,0.1069958847736625,81.6864295125,81.6205533597,78.10466024472794
3501103,Alto Alegre,2023,0,0,0,0.0,0.0,3841,29435.647747982297,0.942690775360098,8.6,0.4064577397910731,0.1069958847736625,81.6864295125,81.6205533597,26.03488674824265
3501103,Alto Alegre,2024,0,0,0,0.0,0.0,3883,29435.647747982297,0.942690775360098,8.6,0.4064577397910731,0.1069958847736625,81.6864295125,81.6205533597,0.0
3501103,Alto Alegre,2025,0,0,0,0.0,0.0,3874,29435.647747982297,0.942690775360098,8.6,0.4064577397910731,0.1069958847736625,81.6864295125,81.6205533597,0.0
3501152,Alumínio,2022,0,0,0,0.0,0.0,17301,207750.1622449569,0.9620426390089312,10.1,0.6068083161983093,0.1226106160993069,96.2987886945,90.965679677,40.46008901219582
3501152,Alumínio,2023,0,0,0,0.0,0.0,17301,207750.1622449569,0.9620426390089312,10.1,0.6068083161983093,0.1226106160993069,96.2987886945,90.965679677,23.1200508641119
3501152,Alumínio,2024,0,0,0,0.0,0.0,17591,207750.1622449569,0.9620426390089312,10.1,0.6068083161983093,0.1226106160993069,96.2987886945,90.965679677,79.58615200955033
3501152,Alumínio,2025,0,0,0,0.0,0.0,17607,207750.1622449569,0.9620426390089312,10.1,0.6068083161983093,0.1226106160993069,96.2987886945,90.965679677,221.50281138183678
3501202,Álvares Florence,2022,0,0,0,0.0,0.0,3915,34516.89885057471,0.9350882440921328,8.5,0.4049483244597557,0.1067961165048543,68.558382257,68.9497716895,0.0
